Quantity,RMSE,RelativeRMSE,MaxAbsError,MeanAbsError,Correlation,PeakFrequencyShift_Hz
Ez1,0.00150807514892221,1,0.00215171082092322,0.0014685699441627,0,-14
Ez0,0.000366979788636449,1,0.000857295245713566,0.00028089692460844,0,-40
Ez_1,0.000431343712082388,1,0.000614289186293619,0.000381037395336263,0,-40
Ef1,0.000849811825198459,1,0.00125682072242595,0.000815165380908592,0,-15
Ef0,6.00452948777228e-05,1,0.000100294326056885,5.16212584259883e-05,0,-34
Ef_1,0.000253112616610743,1,0.000383599948501428,0.000214883758028065,0,-8
Forward,0.713252131569467,1,0.947157682987352,0.695381660600897,0,-16
Backward,0.756096656997811,1,0.959262505893249,0.743594622089871,0,-19
F1,15.0807514892221,1,21.5171082092322,14.685699441627,0,-14
B1,8.49811825198459,1,12.5682072242595,8.15165380908591,0,-15
