Quantity,RMSE,RelativeRMSE,MaxAbsError,MeanAbsError,Correlation,PeakFrequencyShift_Hz
Ez1,272556609.3751,180731450664.04,1248932803.79278,60195386.6505685,-0.0515523618356256,8
Ez0,61023492.7148989,166285704566.014,287255146.102583,13467315.8281761,0.105994059724387,-5
Ez_1,1706264950.11711,3955696819781.63,10688659282.6491,315879119.097586,0.104166360027667,-5
Ef1,445577567.47686,524324979089.109,2672697638.83752,89541983.2051962,-0.024229148985294,20
Ef0,35272925.7923381,587438630523.315,225855028.886428,5531411.7106745,0.24575787689596,1
Ef_1,315312491.754458,1245739923898.66,2018965934.51087,49459125.1665734,0.0667480789369296,27
Forward,0.403906230684594,0.566288150861636,0.920978470331145,0.350231056342003,-0.0320702003704719,23
Backward,0.141686184427487,0.187391629252895,0.357487108039652,0.112431646947257,0.681164211508391,2
F1,2725566093751,180731450664.04,12489328037927.8,601953866505.685,-0.0515523618356257,8
B1,4455775674768.6,524324979089.109,26726976388375.2,895419832051.962,-0.0242291489852939,20
