Quantity,RMSE,RelativeRMSE,Correlation,MaxAbsError,MeanAbsError
Ez1,3.23445071810913e-08,2.14475433828395e-05,0.999999995551752,1.03922019433021e-07,2.01337894408448e-08
Ez0,4.70354548315263e-08,0.000128169060771143,0.99999998016622,9.76568564920594e-08,3.78661106614175e-08
Ez_1,5.69730315727584e-08,0.000132082675548256,0.999999960287665,1.36914509502197e-07,4.26017350328413e-08
Ef1,2.18328861144679e-08,2.56914359945146e-05,0.999999995868376,5.67077563022557e-08,1.64644331910758e-08
Ef0,1.21477254936869e-08,0.000202309365262086,0.999999921565988,2.64118549349925e-08,8.716079159723e-09
Ef_1,3.53084179690768e-08,0.000139496870767912,0.9999999651598,7.19050023499223e-08,2.77008805780079e-08
Forward,2.41814320605255e-05,3.39030631528794e-05,0.999999988385517,6.92700793583079e-05,1.86116221224461e-05
Backward,2.21492684073327e-05,2.92942287237184e-05,0.999999986917121,5.31243600978559e-05,1.65554006519731e-05
F1,0.00032344507181109,2.14475433828512e-05,0.999999995551751,0.001039220194329,0.00020133789440869
B1,0.000218328861144746,2.56914359945225e-05,0.999999995868376,0.000567077563022877,0.000164644331910833
AllSixChannels,3.73616425692248e-08,0.00012608307086094,NaN,1.36914509502197e-07,2.55805046773184e-08
