comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1,Eoz0,Eoz_1,Eof1,Eof0,Eof_1,Forward,Backward
1,1238.54643052215,124.29194224482,4.98240838526186,2.51234980783015e-05,1.34374118154099e-12,2.51122663676246e-05,2.48731105142316e-05,3.85990637107609e-12,2.48701693702731e-05,0.500111776607356,0.500029524428536
2,1245.52334629688,124.18981111741,5.01459554165578,2.70492139422398e-05,1.91007899524315e-06,2.70821647922822e-05,2.06031147592036e-05,2.00514654888371e-06,2.05926115526039e-05,0.482664353105741,0.476914316653785
3,1258.2216515788,137.900502172882,4.56206334187748,5.06991457284323e-06,8.05704359937306e-05,5.07178733351024e-06,1.5991749204187e-06,8.48363848881711e-05,1.60137161098951e-06,0.0558901453565955,0.0181648189530496
4,1319.23669713957,122.076298404301,5.40332855101171,2.61257206940108e-05,4.07026402204292e-13,2.59178837647369e-05,2.60682477794462e-05,4.00900904161147e-12,2.62756265486805e-05,0.501996753710504,0.498019035034932
5,1319.3022474289,120.865759704282,5.45771710142221,2.39787110276718e-05,2.27920405369178e-08,2.38075574001798e-05,2.70623482015223e-05,6.6555335082567e-08,2.72603897202429e-05,0.501551605339047,0.497567564883096
6,1390.59973290855,129.839115518904,5.35508782292221,2.90919497311755e-07,0.000103760590452577,2.88523397603038e-07,2.26647411053664e-07,0.000100554985191612,2.28219338859597e-07,0.00278818673886066,0.00224381490218271
7,1408.28677957762,118.472807197112,5.94350219639245,2.68920597780014e-05,2.01295827996401e-12,2.68864642632558e-05,2.6890109496953e-05,2.43377782480238e-12,2.68946754208219e-05,0.500052004974827,0.499957531135925
8,1414.22200447403,116.628346339711,6.06294288163329,2.54839123004303e-05,5.13771058510209e-07,2.54988144281157e-05,2.49443928182088e-05,1.28212471936878e-07,2.49328294170975e-05,0.494866901547541,0.498833636068674
9,1504.03238823443,114.384484738556,6.57445977779305,2.92650468017693e-05,6.32437888728231e-12,3.02413222985148e-05,3.01893251842943e-05,1.06191897442134e-11,2.92029045752609e-05,0.491796830052601,0.50830419919802
10,1504.29622384693,114.567569368849,6.56510490767184,2.90699325902379e-05,3.89943361807153e-08,3.00755666696262e-05,2.90794606666879e-05,1.0606452328703e-08,2.8119184307196e-05,0.491174813265288,0.508299967955254
11,1527.12882519542,119.767052294721,6.37541292006369,1.25656300546087e-07,9.83445052379534e-05,1.26164968768398e-07,7.10868784676814e-08,0.000101796450354089,7.27758712475797e-08,0.00127445215250311,0.000697338239439141
12,1606.42688562248,109.615485539056,7.32755448613196,3.26513661377606e-05,4.02319017337829e-13,3.24992573082915e-05,3.26374388539161e-05,8.50947154574484e-13,3.28094469590751e-05,0.501167359713271,0.498685888933194
13,1609.9906562647,108.059878579242,7.4495301930405,2.91339103487631e-05,2.43065064877607e-09,2.90018462674016e-05,3.09436420539081e-05,1.97188085153292e-07,3.10624748236079e-05,0.501114873345791,0.497459774403926
14,1656.91598666034,0.237339268663356,3490.60649759253,6.30174572838672e-08,3.00622304713928e-13,6.3384715417244e-08,7.02835370602732e-08,1.10282159336285e-13,7.06873832862644e-08,0.49854607767547,0.498567235742163
15,1664.01070650559,112.035063765927,7.42629428043249,1.89741644748375e-08,9.28645850833169e-05,1.9547069353641e-08,1.24813714138042e-07,9.06255445062448e-05,1.27028903683163e-07,0.000204236060848869,0.0013734298276825
