comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1,Eoz0,Eoz_1,Eof1,Eof0,Eof_1,Forward,Backward,pml_fraction
1,995.893778649344,164.736057728553,3.02269519005471,9.94499512526738e-11,8.55278369067637e-05,9.91994918058427e-11,7.42742710156837e-12,8.64636405602349e-05,7.82695323062772e-12,1.16277604888187e-06,8.59023023210278e-08,NaN
2,1005.79376649759,0.0459821242686392,10936.791008409,6.33584707716479e-07,5.68964415069121e-13,6.29078715749248e-07,6.5020126418219e-07,4.42917746942393e-13,6.56000128003237e-07,0.501784094196804,0.49778008781532,NaN
3,1006.25909351159,0.778856541374038,645.984876583544,3.97678813391995e-07,7.09830813948302e-08,3.77212597446143e-07,1.4577819549438e-06,7.03950600605314e-08,1.46816730871189e-06,0.470139266573921,0.486520171732393,NaN
4,1006.28503226779,1.08914772634077,461.959846185709,1.57895936192353e-06,1.5360374851807e-08,1.10231613376479e-06,2.43813850553659e-07,1.51752238607533e-08,4.78144574213096e-07,0.585529317907972,0.330759355522059,NaN
5,1006.2854600324,1.05573803989819,476.579142743327,1.12665172752942e-06,2.04787461807888e-10,6.61662918874944e-07,7.48579744543244e-07,2.04434821494063e-10,9.55746671805694e-07,0.629935412607723,0.43917054597705,NaN
6,1008.13225194409,4.30083278100916,117.201981950521,1.45172105860843e-06,7.78150227410736e-14,1.44925900306467e-06,1.49850489958221e-06,4.71745239785944e-14,1.50187366139247e-06,0.500424335502203,0.499438602685735,NaN
7,1010.4901285369,7.07479131127164,71.4148364296612,1.3119475380143e-06,1.55918919285119e-07,1.30631439749175e-06,4.81582985995294e-06,1.59107844512603e-07,4.81672873407832e-06,0.472913485704615,0.491829443964301,NaN
8,1010.79544919873,9.75922874509481,51.7866460352606,7.16993681769365e-06,4.54272323063994e-08,6.94596505203135e-06,1.86284235964603e-06,4.70526919507819e-08,1.97716003053804e-06,0.506303946898963,0.479242593758903,NaN
9,1010.81851276376,9.45633612375581,53.4466256029342,4.63540089072172e-06,6.31914929068715e-12,4.41774047905356e-06,4.32773965922866e-06,7.20568069527453e-12,4.42771547362804e-06,0.512020906981621,0.494290248977487,NaN
10,1014.98366765965,16.8096073528491,30.1905822769745,3.33512752868892e-06,1.71240405000912e-13,3.33926919340044e-06,3.45086451007506e-06,6.4616565002087e-13,3.44837530096148e-06,0.499689722081401,0.500180350501144,NaN
