comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1,Eoz0,Eoz_1,Eof1,Eof0,Eof_1,Forward,Backward,pml_fraction
1,1006.24607679537,1.90341395771425,264.326651781974,1.81672774384406e-07,3.09764851457174e-10,2.61283617268509e-07,1.44043039967583e-07,3.57394570674154e-10,1.47779837615808e-07,0.409850316155626,0.492993722353815,NaN
2,1006.24620107289,1.91054793801098,263.3396893774,6.74272254706483e-08,6.97778118725909e-10,2.50731780758314e-07,2.6655544033589e-07,7.89072955959302e-10,1.38028849923574e-07,0.211465550618877,0.657555390964939,NaN
3,1006.25385420917,1.9084525184758,263.630832956962,6.01612804758552e-08,1.77041498463789e-09,1.92737203498629e-07,3.14176185431873e-07,1.99750882501172e-09,1.77680520413549e-07,0.236233323824563,0.63617192300674,NaN
4,1006.25412787674,1.90332147398984,264.341610607528,1.94872060448096e-07,9.12657349787242e-10,3.27868652775334e-07,8.63738543437238e-08,1.06097059547275e-09,1.45696404127685e-07,0.372139417788487,0.370494569472477,NaN
5,1010.59303742032,17.4357290879903,28.9805213283684,2.10228498449966e-06,1.70171875590528e-10,2.71082694701644e-06,2.8268494539851e-06,2.19168553071628e-10,2.24896462735034e-06,0.436767457078462,0.556901287840695,NaN
6,1010.62397758497,17.419209237076,29.0088936825531,1.14387568450364e-06,1.12176320248341e-08,1.08551753478136e-06,4.34421384966229e-06,1.36437330038186e-08,3.53504663054198e-06,0.510519568284222,0.550394852428669,NaN
7,1010.65129228477,17.4034779791174,29.0358999935949,6.89030697061022e-07,1.27754750523323e-09,4.82738255411279e-06,3.41298147868001e-06,1.59063287153663e-09,1.3411567080521e-06,0.124876641733165,0.717656874086538,NaN
8,1010.65247720523,17.393643240518,29.0523515755154,1.96923456136656e-06,8.44286583657281e-09,5.81304021883895e-06,2.1741621084919e-06,1.06274985065514e-08,3.62888061873799e-07,0.252766773336598,0.853389789083605,NaN
9,1019.80407042225,49.2929676148019,10.3443160329834,6.49418496467391e-06,1.60040027175001e-10,5.15372769538468e-06,4.8899968190378e-06,2.19404367102017e-10,7.19731974560603e-06,0.557533004118878,0.404548688134156,NaN
10,1019.82561318924,49.3314618585364,10.3364625207511,4.16941750456335e-06,1.63320734157979e-08,2.48049729437659e-06,7.82799550777973e-06,2.27337789631715e-08,9.2703653127479e-06,0.625452009863828,0.457213495450959,NaN
11,1019.83251060041,49.3985868452224,10.3224866917326,5.96567190047565e-06,3.41381879864567e-10,6.20132846079966e-06,6.827312270413e-06,4.98856158832628e-10,4.72861398391632e-06,0.490301992531087,0.590780644112581,NaN
12,1019.85983015088,49.3931713420804,10.3238950085597,7.98252309299301e-06,1.34427694200697e-08,9.22459738755476e-06,3.29834475806443e-06,1.98562630933897e-08,3.40821519427697e-06,0.463545993073596,0.490356922977183,NaN
13,1026.7984772303,153.283282399722,3.34934919566989,2.94184477450937e-11,8.53520061383919e-05,2.96539517139569e-11,1.97526773984452e-12,8.73600169456e-05,2.15203207172918e-12,3.44671774167853e-07,2.26106600660754e-08,NaN
14,1034.36584786066,97.862382621334,5.28479799977385,1.36986917406205e-05,1.24365632883384e-09,3.88176841619847e-06,5.1098715881772e-06,1.98287658497523e-09,1.18726763169093e-05,0.779144722616499,0.300854445369278,NaN
15,1034.3700115278,97.8772503810573,5.28401649770899,1.5110771978038e-05,1.74903951343572e-08,7.22429162135617e-06,2.58246575772305e-06,2.74644806804983e-08,9.6623228053745e-06,0.676019929612376,0.21043126706325,NaN
16,1034.42273721681,97.882433939601,5.28400600385103,4.77048178936301e-06,1.87853381436381e-08,7.06922400454619e-06,1.03026877787369e-05,2.75202026933537e-08,1.24166070080282e-05,0.402284045772793,0.452928807110422,NaN
17,1034.44414456766,97.8832281974217,5.28407247910379,9.26709952994945e-06,9.15970065087149e-10,7.78101785135117e-06,9.39066674818949e-06,1.25257231808486e-09,8.49003653121617e-06,0.543555715973018,0.525147630720958,NaN
18,1039.58122007128,-21.7836869204913,23.8614616493908,2.52438538847149e-06,6.84799623194822e-16,2.52409718562531e-06,2.6096684812502e-06,2.69434515256501e-14,2.61018651421022e-06,0.500028543444205,0.499950376025651,NaN
19,1050.62601031963,-19.4084904134171,27.0661444538038,1.65361864983533e-06,3.19819142616492e-07,1.653596956471e-06,6.58230219153962e-06,3.13882828027883e-07,6.58188551272365e-06,0.455914752492082,0.488371252826549,NaN
20,1055.66807955606,161.644352680397,3.26540352957249,3.7832752667802e-06,2.70808831321816e-09,1.54750187228921e-05,1.51911130949746e-05,2.23731922692788e-09,6.08201235759089e-06,0.196421518021865,0.714023692940996,NaN
21,1055.67700209273,161.638813240562,3.26554303675071,6.44935874078613e-06,1.34066099808653e-08,1.15779571961863e-05,1.82142951841747e-05,1.05512249171309e-08,4.66286050018527e-06,0.357488937818363,0.795811273552785,NaN
22,1055.69007752992,161.620876463523,3.26594589953293,1.0635547580514e-05,1.06579741712287e-08,1.08831152061656e-05,1.43396457726231e-05,8.44431078960978e-09,4.5160893085212e-06,0.494002932031827,0.760152110234625,NaN
23,1055.69919757562,161.621413370124,3.26596326427984,6.25562545990247e-06,5.74525938602184e-09,1.51503627845021e-05,1.03028032521628e-05,4.50316205843454e-09,9.43315528516481e-06,0.29215875766411,0.5219129830425,NaN
24,1059.09174183253,-9.53431217525289,55.5410669571683,9.0919510901277e-06,2.15745926213259e-14,9.09146374865673e-06,8.81238068619112e-06,1.5525050111344e-13,8.81524169123281e-06,0.500013400120388,0.499918844407779,NaN
25,1061.50483400501,-8.37924560931228,63.3413127803121,1.45583705470973e-05,1.46385465258837e-07,1.45586495449795e-05,4.25111144622228e-06,1.57230336074112e-07,4.24942909764663e-06,0.497494063654797,0.491016857014615,NaN
26,1084.36892812674,237.345730513384,2.28436577683793,9.95784267683016e-06,2.69750109490802e-11,1.04843574758479e-05,9.60935862859376e-06,7.17019887741385e-12,1.12382995334161e-05,0.48712122287998,0.460932122396829,NaN
27,1084.37254129553,237.355378282014,2.28428053567663,1.02195468240473e-05,3.17933562674684e-11,1.05942063962245e-05,1.2297626791162e-05,7.07419045624138e-12,8.18307488637394e-06,0.490998961378527,0.600449278403287,NaN
28,1084.38001392471,237.345088249698,2.2843953121623,1.09233035421359e-05,1.20265020299375e-10,8.51377765407652e-06,1.20038515931463e-05,1.55353275542103e-11,1.05883147587531e-05,0.561979231625617,0.531327680215472,NaN
29,1084.38343625345,237.353667492631,2.28431995112762,9.6114061678255e-06,1.39046458728695e-10,1.2964702388061e-05,1.02754181044366e-05,3.75674682484216e-11,9.20712755258635e-06,0.425730898115552,0.527415588889649,NaN
30,1095.77821811254,10.2381279865913,53.5145790103262,1.46797854545875e-05,7.50271230828297e-14,1.46766845977978e-05,1.50769338516272e-05,3.66387640394244e-13,1.50819393598018e-05,0.500052812578438,0.499917008263764,NaN
31,1106.92414475969,8.01378260599036,69.0637741989815,7.35854720310235e-06,3.26009397200595e-07,7.35839078922283e-06,1.80116815415297e-05,3.68333926264629e-07,1.80113538419677e-05,0.489169244068886,0.494943770546662,NaN
32,1115.30019064605,322.558961737101,1.7288315051607,1.18170476052657e-05,5.60589391550569e-13,1.02688039683479e-05,6.99242968771825e-06,1.2813092102407e-13,6.92757300316718e-06,0.53505056238991,0.502329617215722,NaN
33,1115.30179505306,322.558301591655,1.72883753037766,7.57066407072072e-06,3.46457643094785e-13,6.41651594539165e-06,1.12454789543928e-05,6.77159679314504e-16,1.08304297501446e-05,0.541257342400472,0.50940050099666,NaN
34,1115.31020070055,322.557108661315,1.72885695393497,1.68221480565053e-05,4.17192658750526e-12,1.42590796684669e-05,2.9834458030448e-06,2.1215622822299e-12,2.87121743695664e-06,0.541231702536984,0.50958434321991,NaN
35,1115.31114972739,322.555517167033,1.72886695525012,3.20736501614262e-06,9.97187271292662e-13,2.66266915513057e-06,1.56089156334578e-05,5.16443403401271e-12,1.5297605384265e-05,0.546396218096904,0.505036235436555,NaN
36,1140.09105265023,426.25444608033,1.33733625905145,1.66802618578931e-07,3.18776335565237e-15,1.67288773637446e-07,1.11621375090528e-05,3.6393490293684e-14,1.15825016405108e-05,0.499272417289152,0.490759049540979,NaN
37,1140.09839945846,426.252130627044,1.33735214153805,1.18265025503698e-05,4.6559539057633e-13,1.18316909928931e-05,1.11618133493203e-08,6.64334564893646e-15,1.16490413481275e-08,0.49989033592089,0.489320117402108,NaN
38,1140.09871671558,426.250944378938,1.33735623551139,1.15609432210762e-08,1.05982861942971e-15,1.11341010675791e-08,1.1547995774881e-05,4.89869021253079e-12,1.19852120773192e-05,0.509403838747936,0.490710550111526,NaN
39,1143.31322668732,145.105923243511,3.93958151787042,9.99240511928841e-10,9.36809053214157e-05,9.94124840562777e-10,1.4480523762511e-10,9.06202050233569e-05,1.47338049424297e-10,1.06661997646959e-05,1.59793029339516e-06,NaN
40,1148.92184039461,33.8086176785284,16.9915530312302,2.06194066675096e-05,1.69060519043171e-13,2.06217984444361e-05,2.0180929875917e-05,9.88391010965498e-13,2.01864623873025e-05,0.499971000532468,0.499931460774022,NaN
41,1155.67926200132,35.3167448161248,16.3616333840833,2.55743311300658e-05,2.2119065636766e-07,2.55758449603888e-05,1.38950615076252e-05,3.05126455096422e-07,1.3889387116105e-05,0.497832406447465,0.494669693956995,NaN
42,1215.49768255859,57.5930089077347,10.5524759481298,2.38891317028159e-05,1.31093261359868e-13,2.38803853399141e-05,2.42436893852283e-05,1.72527953659445e-12,2.425543628374e-05,0.500091546160877,0.499878877987889,NaN
43,1218.76133947293,55.1027786353886,11.0589825926692,1.83393593664538e-05,1.73839265185962e-07,1.83352934833353e-05,2.71092451745504e-05,1.96626472128196e-07,2.71126763646037e-05,0.497696332029846,0.49816186144713,NaN
44,1271.43048819398,129.984845508052,4.8906873844583,1.9026405414154e-07,9.23421522405838e-05,1.90357106733557e-07,6.50451521944093e-08,9.60236104371135e-05,6.55434068090319e-08,0.00205196681636947,0.000676467100485503,NaN
45,1289.5785994789,80.5365435648202,8.0061705059454,2.57743726642591e-05,4.66796892258996e-13,2.57829959440701e-05,2.55530449503261e-05,2.8119161046502e-12,2.55406907921213e-05,0.499916367468293,0.500120869470881,NaN
46,1296.870331241,80.8175650829315,8.02344347983143,2.67014047364083e-05,3.22686809104507e-07,2.67214642973737e-05,2.17868584078901e-05,6.31449092582276e-07,2.17738718720572e-05,0.496811398033803,0.493002579126774,NaN
47,1364.63577238292,99.2059460723119,6.87779224134522,2.6825568893307e-05,1.03343606148048e-12,2.68117712318788e-05,2.69508266693981e-05,4.26574609687904e-12,2.69233995791805e-05,0.500128610289904,0.500254507806512,NaN
