comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1,Eoz0,Eoz_1,Eof1,Eof0,Eof_1,Forward,Backward,pml_fraction
1,1319.23669713918,122.07629840427,5.40332855101146,2.61257206939354e-05,4.07026402738363e-13,2.59178837646721e-05,2.60682477795017e-05,4.00900903794992e-12,2.62756265487055e-05,0.501996753710407,0.498019035035225,NaN
2,1319.30224742853,120.865759704318,5.45771710141908,2.39787110270499e-05,2.2792040537543e-08,2.38075574007133e-05,2.70623482022451e-05,6.65553350826357e-08,2.72603897195816e-05,0.501551605326959,0.497567564895822,NaN
3,1390.59973290819,129.839115518963,5.35508782291842,2.90919497327413e-07,0.000103760590452586,2.88523397598729e-07,2.26647411049197e-07,0.00010055498519158,2.28219338871635e-07,0.00278818673901017,0.00224381490213904,NaN
4,1408.28677957729,118.47280719715,5.94350219638913,2.68920597778229e-05,2.01295829012583e-12,2.68864642633959e-05,2.68901094971374e-05,2.43377780734477e-12,2.68946754206425e-05,0.500052004971865,0.499957531139307,NaN
5,1414.22200447371,116.628346339732,6.06294288163084,2.54839123005136e-05,5.13771058511951e-07,2.54988144279889e-05,2.49443928181104e-05,1.28212471939035e-07,2.49328294172159e-05,0.49486690154956,0.498833636066485,NaN
6,1504.03238823412,114.384484738583,6.57445977779007,2.92650468001859e-05,6.32437889807365e-12,3.0241322300019e-05,3.01893251858217e-05,1.06191897491068e-11,2.92029045737796e-05,0.491796830026647,0.508304199223343,NaN
7,1504.2962238466,114.567569368878,6.56510490766872,2.90699325898582e-05,3.89943361805073e-08,3.00755666700077e-05,2.90794606671018e-05,1.0606452328637e-08,2.81191843067679e-05,0.491174813258858,0.508299967962615,NaN
8,1527.12882519509,119.767052294765,6.37541292006,1.25656300542499e-07,9.83445052379676e-05,1.26164968769071e-07,7.10868784679632e-08,0.00010179645035408,7.27758712489313e-08,0.00127445215246658,0.000697338239441953,NaN
9,1606.42688562218,109.615485539093,7.3275544861281,3.26513661377586e-05,4.02319017591304e-13,3.24992573082476e-05,3.26374388539264e-05,8.50947155743237e-13,3.28094469591032e-05,0.501167359713593,0.498685888933059,NaN
10,1609.99065626439,108.059878579261,7.44953019303772,2.91339103490029e-05,2.43065064895544e-09,2.90018462671499e-05,3.09436420536256e-05,1.9718808515479e-07,3.10624748238716e-05,0.501114873350016,0.497459774399523,NaN
11,1656.91598666002,0.237339268664089,3490.60649758109,6.30174572842247e-08,3.00622304917189e-13,6.33847154168449e-08,7.02835370605144e-08,1.10282159409954e-13,7.06873832858498e-08,0.498546077678461,0.498567235744487,NaN
12,1668.82841166491,0.304283094959913,2742.22991567239,1.65307625078638e-08,1.127395570637e-08,1.76568176079652e-08,1.93102675121788e-08,1.03011058346671e-08,1.8290063777658e-08,0.363620854616878,0.403125014015512,NaN
13,1668.89927344003,0.70754036722463,1179.36682537732,1.08535793322524e-08,9.3043085812703e-12,1.2792000329029e-08,1.40782845755436e-08,1.11736047205641e-11,1.19817030255546e-08,0.458830377104377,0.539994535126478,NaN
14,1668.90270004579,0.63992849246531,1303.97592832317,4.98986620132054e-10,8.61163377996193e-10,2.43264878997892e-09,2.73758818778471e-09,7.84411357845e-10,5.86155212698995e-10,0.131561584995411,0.666379031178082,NaN
15,1668.90474470993,0.574902797060828,1451.46688556931,5.78127165132772e-09,1.78005848549906e-11,7.42938792545204e-09,8.05036686318104e-09,1.23687381631113e-11,6.29788286375326e-09,0.437032850436712,0.560586362122701,NaN
16,1670.87460410692,3.38506406319469,246.80103137103,2.85433514171982e-08,1.92048633635683e-08,2.90597754772507e-08,3.2648848399257e-08,1.74588940953288e-08,3.28407831361669e-08,0.371619558346911,0.39360372171766,NaN
17,1671.60382027468,5.75915690937264,145.125740327916,3.08680910430991e-09,2.37405760367582e-09,3.8344468477233e-09,4.59058665790698e-09,2.19119924047792e-09,3.79277541967555e-09,0.332082299947164,0.43411603751984,NaN
18,1671.8624303157,6.021396989047,138.826789975552,1.64969754473353e-08,1.80213934548252e-13,1.68108625980328e-08,1.97824992280066e-08,9.00618326884072e-13,1.92025602739762e-08,0.495285409023932,0.507426241830605,NaN
19,1671.98267603386,4.97592203477984,168.007322496949,1.9564694875319e-08,1.86937548441396e-13,1.98737720316811e-08,2.27399505196415e-08,3.74940834278951e-13,2.23713863768828e-08,0.496079175329748,0.504080860456502,NaN
20,1675.2381063151,10.9691898625895,76.3610680141712,3.13430177453562e-08,2.17687657538273e-08,3.16801438225213e-08,3.82156888238777e-08,1.93660061437141e-08,3.94441845669411e-08,0.369646247412672,0.39387108890135,NaN
21,1677.03263492473,16.0114075389445,52.3699315892648,4.81532016750855e-09,3.6756081824543e-09,5.23875543149937e-09,7.12120010409833e-09,3.40482782159705e-09,6.56268122504786e-09,0.350723311924356,0.416719603644761,NaN
22,1677.36596897581,16.0542570092588,52.2405355790818,4.66484071902677e-09,1.15281935147462e-12,4.62633010886168e-09,6.31814698065756e-09,1.79449523318381e-14,6.18106876137045e-09,0.502010142577455,0.50548274709343,NaN
23,1678.17821136924,10.9166122783861,76.8635071290334,2.29186516347273e-08,5.10597244757415e-13,2.27608573152263e-08,2.79350386434945e-08,4.53617212484511e-13,2.7930476523065e-08,0.501721581161909,0.500036771072859,NaN
24,1682.25869269038,23.2863134421715,36.1211897466736,2.10202226938184e-08,1.60288526192542e-08,2.11617746690204e-08,2.91472152707718e-08,1.31969196115626e-08,3.02449349504791e-08,0.361104891962318,0.401537247107635,NaN
