theory_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction,source_shift_index
1,915.166922135129,60.1381128616174,7.60887628982473,0,1,0,0,1,0,1
2,970.718182760714,0.766288800559638,633.389253537163,0,1,0,0,1,0,1
3,991.145861876286,7.95988342456291,62.2588176868125,0,1,0,0,1,0,1
4,993.104127148422,8.72168666671481,56.9330317115424,0,1,0,0,1,0,1
5,994.145153497757,7.84733536570275,63.3428486975801,0,1,0,0,1,0,1
6,996.119511398578,8.58976058885994,57.9829612882602,0,1,0,0,1,0,1
7,1013.57469420009,13.5309993125822,37.453800372955,0.964644410119341,3.55361072490067e-06,0.0353520362699338,0.774510947004541,7.04828850567577e-07,0.225488348166608,1
8,1014.16845824764,12.3891003937681,40.9298668189734,0.881560303059218,8.81357039953891e-07,0.118438815583743,0.76405269645667,4.48254224671126e-06,0.235942821001083,1
9,1017.65614418704,16.8846938325785,30.1354633456104,0.93667815989103,4.62782384790684e-07,0.0633213773265852,0.715272220330871,6.60528349734068e-06,0.284721174385632,1
10,1018.62009946824,14.9504890041614,34.0664475651837,0.928238389175677,3.7760340391115e-06,0.0717578347902833,0.795466692264537,3.76082639214874e-07,0.204532931652824,1
11,1041.78819928359,6.86106875615317,75.9202564723823,0.464627658942671,3.16552337097726e-07,0.535372024504992,0.596001937221344,5.78903358666399e-07,0.403997483875297,1
12,1045.10535940252,8.55268141578998,61.0981111416733,0.518652315914006,6.10727408858822e-07,0.481347073358586,0.595299655845402,7.83021966008466e-07,0.404699561132632,1
13,1054.47992939582,9.91810623000101,53.1593383324609,0.546438170860363,2.71892645316928e-06,0.453559110213184,0.511284009876841,1.53725256697665e-06,0.488714452870592,1
14,1058.57391558541,10.6656842565182,49.6252228233025,0.532439367261496,1.5487117341584e-06,0.46755908402677,0.474626524203614,1.34781764754573e-06,0.525372127978738,1
15,1069.49972175906,77.9574338059468,6.85951082241422,8.13607540093963e-08,0.999999895075373,2.35638729884521e-08,5.68439728247138e-09,0.999999981318773,1.29968298662141e-08,1
16,1082.07306472748,32.7278252553507,16.5313927259889,0.667827444989647,1.30796147708334e-06,0.332171247048876,0.696989582007062,6.47708676146691e-06,0.303003940906177,1
17,1084.79710521926,36.0702136583811,15.0372980250867,0.771658912931011,2.36577170857095e-06,0.228338721297281,0.858707414874693,1.43606402231754e-06,0.141291149061284,1
18,1093.48963834672,35.6978623372951,15.3158980223349,0.610630925595517,5.85803655497961e-05,0.389310494038934,0.513984203814747,8.93567398495294e-07,0.486014902617855,1
19,1093.56325562156,40.0663218904151,13.6469134677816,0.8161767623382,3.29345408401982e-06,0.183819944207716,0.740031046748157,0.000597065041146133,0.259371888210697,1
20,1117.94934237998,53.5758855148992,10.4333258483342,7.38687630373736e-07,0.999998829708644,4.31603725627496e-07,4.7153933365701e-08,0.999999846593206,1.06252860387805e-07,1
21,1124.37068029292,14.7477345106438,38.120115312675,0.481846985457827,1.28838301379824e-06,0.518151726159159,0.513318063672224,1.22507469716787e-06,0.486680711253078,1
22,1153.83775679619,20.8781675182334,27.6326395932142,0.506998518053562,1.56154298917899e-06,0.492999920403449,0.501939220647766,5.90164784785142e-06,0.498054877704386,1
23,1181.06311946798,1.84452681448822,320.153415551098,0.000410992347270163,0.998141585548095,0.00144742210463455,0.000214982128990282,0.999766126118987,1.88917520230221e-05,1
24,1184.77011959241,34.8568104993249,16.9948153979171,0.587540730307495,6.6629520222056e-06,0.412452606740483,0.518731689620245,8.61668714095804e-07,0.481267448711041,1
25,1185.30978024406,29.0021686785072,20.4348473623365,0.477437320455713,5.06289931024931e-06,0.522557616644977,0.470571168920973,4.47556453075628e-06,0.529424355514497,1
26,1196.59309113287,64.1241652721527,9.33028200877428,0.832805132173646,4.8459149450133e-07,0.16719438323486,0.889387537924808,6.66978992045065e-07,0.1106117950962,1
27,1202.38300291719,69.1720374626692,8.69125044615097,0.885337635809907,6.2998117122765e-07,0.114661734208922,0.907949215471862,1.01227414066061e-06,0.0920497722539972,1
28,1214.04042963019,57.9022402616704,10.4835359058969,0.509933763061243,7.30792714836517e-06,0.490058929011608,0.639933979749473,1.17892340612822e-06,0.360064841327121,1
29,1214.78468881234,66.3617041514771,9.15275386870323,0.682348380565333,3.27739842584206e-06,0.317648342036241,0.917498257393218,9.23906964053075e-06,0.0824925035371413,1
30,1231.62089629724,27.6842155144823,22.2440996323871,0.507393131687367,4.44940429529267e-07,0.492606423372203,0.508057741870806,1.27859267350301e-07,0.491942130269927,1
31,1311.44087725689,42.0341731525949,15.5996987557721,5.08642026207789e-05,0.999920646125357,2.8489672021917e-05,4.96957871342346e-05,0.999900299241895,5.00049709703875e-05,1
32,1316.90569266254,34.2097175345535,19.2475382372334,0.495254115287863,0.000193476675747692,0.50455240803639,0.502068021927517,0.000134464425969143,0.497797513646514,1
33,1353.83910542835,103.351608419336,6.54967603375523,0.745147090324255,9.02316429879805e-06,0.254843886511447,0.786852655136655,3.93036825910059e-07,0.213146951826519,1
34,1357.18758908318,109.733805246992,6.18399947959694,0.914806440916408,4.00841768512224e-06,0.0851895506659067,0.990399645324082,8.35578837838829e-06,0.00959199888753916,1
35,1357.66831343698,60.6791698834567,11.1872683496213,2.60663757285374e-05,0.999970426328543,3.50729572831305e-06,1.45148025743055e-06,0.999996178252226,2.37026751624736e-06,1
36,1364.86155677748,111.977867104516,6.0943362830066,0.979125848163963,9.85971565424046e-07,0.0208731658644718,0.897880844215882,1.34795079154183e-05,0.102105676276203,1
37,1367.12368186487,107.696902722488,6.34708913304431,0.779985832435185,2.04194715899574e-06,0.220012125617656,0.815222882806453,7.98650110966744e-06,0.184769130692437,1
38,1386.00948120648,47.1772733888647,14.6893767024444,0.527280101695772,2.6378718757876e-06,0.472717260432352,0.101523949450516,0.000532678240646588,0.897943372308838,1
39,1393.25647798315,52.4830871023985,13.2733853409271,0.888192030185488,4.82112071938637e-06,0.111803148693793,0.592509236083197,1.13510714951706e-06,0.407489628809654,1
40,1397.80455236436,43.2536923086964,16.158210753297,0.535997338854296,4.12868639459817e-07,0.464002248277064,0.623641482832756,2.65048505109152e-05,0.376332012316733,1
41,1501.54610277671,5.79815105913007,129.484907125031,0.837179344124947,8.27852393266709e-05,0.162737870635726,0.842626269861043,0.000102830353522688,0.157270899785435,1
42,1511.85663437643,43.309199160303,17.4542206238968,0.544855085375049,7.37783828427311e-05,0.455071136242109,0.532984967536697,5.46085548382643e-05,0.466960423908465,1
43,1521.58213656662,44.6365290329672,17.0441359300454,1.47892809938578e-05,0.999959295703838,2.59150151676157e-05,3.15382576779806e-05,0.99994444730926,2.40144330618955e-05,1
44,1560.74557282052,162.950920603919,4.78900507906362,0.475756891085839,8.96561534581768e-06,0.524234143298816,0.755094430099928,3.69607932440949e-06,0.244901873820748,1
45,1560.94298942551,170.237846548828,4.5845944984325,0.827939376418717,5.34982443237787e-06,0.17205527375685,0.834891261968836,1.49364994187807e-06,0.165107244381222,1
46,1576.29026168452,169.698085478698,4.64439612632636,0.83839809062881,8.12954549025556e-07,0.161601096416641,0.803063980690436,4.16485048603003e-06,0.196931854459078,1
47,1577.65034008101,165.578332552931,4.76406035667946,0.533987872739935,2.47991570512614e-07,0.466011879268494,0.764711825662066,5.47847380226942e-06,0.235282695864132,1
48,1603.20995484674,58.9015626438885,13.6092310872934,0.485256556378529,4.50451964282016e-06,0.514738939101829,0.44956969590153,2.59150467194113e-06,0.550427712593799,1
49,1606.48067544368,59.5522454551085,13.4879941399916,0.462635888393449,1.00377171022144e-05,0.537354073889449,0.637130090165579,1.20227694969513e-05,0.362857887064924,1
50,1616.74580329339,67.9558097137318,11.8955672083376,0.451826559194274,2.87177188644787e-06,0.548170569033839,0.55810599821117,4.15791564050977e-06,0.44188984387319,1
51,1641.89445864724,46.9931811600232,17.4694968303613,1.20922424184816e-05,0.999978939783723,8.96797385799795e-06,1.15978328061709e-05,0.99998164376652,6.75840067392939e-06,1
52,1646.92514185253,5.43376642599044,151.545448657405,0.0432535927193244,0.0411239655968906,0.915622441683785,0.526150981354766,0.0588928734309913,0.414956145214243,1
53,1648.82073134999,5.39123549304674,152.91677886048,0.0822787347784322,0.184129647468889,0.733591617752679,0.428707620534682,0.258821326579796,0.312471052885522,1
54,1652.97812214042,6.72425849788702,122.911553940099,0.215972199882723,0.287650550545163,0.496377249572114,0.603144913444973,0.127465270493665,0.269389816061363,1
55,1653.49184247774,7.16126570761422,115.446899332311,0.344376984129234,0.278928672646937,0.376694343223829,0.284563685842002,0.210774674061028,0.504661640096971,1
56,1668.86211116128,5.18381533624815,160.96851478212,4.94196587546367e-06,0.999953675296839,4.13827372852296e-05,0.000244600387277433,0.999744564250459,1.08353622634814e-05,1
57,1670.97922447264,4.33558477678012,192.705172485823,0.00299976812423889,0.985422687333396,0.011577544542365,0.0146230180606835,0.983528745687899,0.00184823625141781,1
58,1671.98503510365,4.16868881372689,200.540878656863,0.359430850416025,0.0184108475440807,0.622158302039895,0.555839140819565,0.0168672430612368,0.427293616119198,1
59,1671.99272487419,5.00156680049639,167.146895319707,0.20960746474265,0.00253125423047833,0.787861281026871,0.779973748408595,0.00349584782607765,0.216530403765328,1
60,1682.49594462773,8.55952667465694,98.2820667881827,0.445368245010206,0.136093572922048,0.418538182067746,0.588509950558171,0.0169661795959085,0.39452386984592,1
61,1682.51581812103,8.40049983271065,100.143792133028,0.0219809922085482,0.267021603246664,0.710997404544788,0.712249599057543,0.189691661461206,0.0980587394812506,1
62,1684.25282331003,9.36226414405484,89.9490121937838,0.26502551687157,0.578578436096322,0.156396047032107,0.0460298354807282,0.541413908167207,0.412556256352064,1
63,1684.34640747449,9.31159664333955,90.4434798880208,0.113337344053834,0.384329181874065,0.502333474072101,0.453704518486566,0.166014454198372,0.380281027315062,1
64,1704.95058121442,3.64097873675164,234.133553706979,0.0170790314963376,0.980717536377862,0.00220343212580055,0.0127678904804919,0.980389370954525,0.00684273856498354,1
65,1710.90498787526,3.8844178059959,220.226694620021,0.0409142808392229,0.894118871736239,0.0649668474245379,0.0163742743023068,0.955205819289193,0.0284199064085004,1
66,1714.4531371375,3.78279232752723,226.612114635727,0.0041822175299062,0.992997552532347,0.00282022993774622,0.00725638798593204,0.984556732688851,0.00818687932521646,1
67,1715.81408716761,4.76014373624142,180.227129918813,0.00155604595134958,0.997392927767805,0.00105102628084585,0.00435541465026396,0.993003826011611,0.0026407593381254,1
