comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,pml_fraction,mode_class,matched_theory_index,real_error_Hz,imag_error_Hz,pair_quality
1,1256.43837528062,123.027638348519,5.10632566855146,0.104458044257901,physical,1,-17.9881882531899,-86.2498715843307,moderate
2,1308.98491253689,134.12501806633,4.8797194267275,0.0953808976958482,physical,4,74.9315708409599,-50.3712665751878,low
3,1310.22044607279,131.524851013598,4.98088549797076,0.0929930919829458,physical,5,74.0026252422999,-49.0959335864609,low
4,1319.37427972494,117.864168048509,5.59701180422339,0.0801959949403215,physical,2,6.47231066228005,-56.6227897908973,high
5,1331.93625294502,94.6806025386571,7.03383912455146,0.02663992725398,physical,3,36.1343533288,-24.5549404506512,low
6,1403.14659536679,130.385501787558,5.38076157291239,0.0357670754065612,physical,6,-11.1872804284401,-52.036688102233,low
7,1425.23785969866,113.080690056145,6.3018622321416,0.0587444175770813,physical,7,26.87837748481,-25.8258900279839,low
8,1479.18182971742,4.27605472084719,172.961050113077,0.00186408986642442,physical,8,-0.451018323270091,-0.00350872927142998,high
9,1504.90641280208,114.668690543904,6.56197609680513,0.0514139765189747,physical,9,-23.2509144600201,-23.9490672528668,moderate
10,1505.81253190047,119.410874468494,6.30517337136564,0.0536086180716204,physical,11,47.1267884904798,-24.2017740287715,low
11,1510.22146268127,122.685649533979,6.15484153369949,0.054784701748745,physical,12,48.94247604266,-24.854015800072,low
12,1548.16512362716,103.698075787909,7.46477266749669,0.0261423927475097,physical,10,2.90857646151994,-10.5398392818155,moderate
13,1618.27619685483,103.977750787484,7.78183882897394,0.0394006453527883,physical,13,-21.06563110458,-37.4257073193961,low
14,1662.80230949227,0.990594723316899,839.294956026294,0.00189062718740114,physical,15,-0.821281181440099,-0.155691801999253,high
15,1665.99268954057,0.497018554751826,1675.98641299463,0.00179411232260217,physical,16,-0.397071679110013,-0.00127595548815002,high
16,1667.07548297936,0.1114468280868,7479.24149838055,3.7840167851684e-05,physical,17,-0.672218353010066,-0.0176178674540618,high
17,1667.45530344692,0.987196591211235,844.540650915866,0.000335002035610094,physical,18,-0.634465946669934,0.130332955557395,high
18,1668.65277324633,0.719680522993558,1159.30105090622,0.829458234143763,PML-dominated,NaN,NaN,NaN,not-applicable
19,1668.65393137292,0.721486343704357,1156.40021875223,0.824349211675402,PML-dominated,NaN,NaN,NaN,not-applicable
20,1668.65507230657,0.675065919695458,1235.92009581772,0.808599621306404,PML-dominated,NaN,NaN,NaN,not-applicable
21,1668.65815444543,0.646456493279185,1290.61906856335,0.783058338593712,PML-dominated,NaN,NaN,NaN,not-applicable
22,1671.34564679514,6.36537299629035,131.284187727033,0.424030400456663,PML-dominated,NaN,NaN,NaN,not-applicable
23,1671.36918332475,6.33107358450178,131.997295641627,0.416671506432247,PML-dominated,NaN,NaN,NaN,not-applicable
24,1671.39594749049,6.00115811217681,139.256116590154,0.385660402994992,PML-dominated,NaN,NaN,NaN,not-applicable
25,1671.5419820552,5.65021207085068,147.918517136609,0.339567819721904,PML-dominated,NaN,NaN,NaN,not-applicable
26,1676.08603444147,106.595246990881,7.86191730755525,0.0255083496859625,physical,14,-19.74054846323,-29.3274818140183,ambiguous
27,1676.74702818993,17.5806267662835,47.6873506980317,0.340990511230644,PML-dominated,NaN,NaN,NaN,not-applicable
28,1676.75248464041,17.4202542571584,48.1265215733401,0.33670526678446,PML-dominated,NaN,NaN,NaN,not-applicable
29,1676.90307243655,16.5364163651731,50.7033396899778,0.320345369802488,PML-dominated,NaN,NaN,NaN,not-applicable
30,1677.40415179825,15.1413596102825,55.3914640089228,0.287276120203001,physical,19,12.13814431938,-12.0006797368613,moderate
31,1684.95264395127,33.8578670597659,24.8827346533228,0.355266883615555,PML-dominated,NaN,NaN,NaN,not-applicable
