theory_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction,source_shift_index
1,1238.45018702743,36.7777667641883,16.8369411194558,0.485891580350894,1.0601000876458e-08,0.514108409048105,0.511570016078673,9.39199920620792e-09,0.488429974529328,1
2,1325.84659038722,61.2413782576117,10.8247611999362,0.487183078095113,8.68846859964308e-09,0.512816913216419,0.520098337247134,1.34600444268712e-08,0.479901649292821,2
3,1368.07060627382,70.1256620880059,9.7544220299619,3.2387672487745e-07,0.999999395652707,2.80470567551774e-07,1.18483532974425e-08,0.999999973320503,1.48311438710168e-08,1
4,1383.91648337785,83.7537514911422,8.26181788122177,0.497532820444443,4.28439637355764e-08,0.502467136711593,0.520987295695781,5.62370410319597e-08,0.479012648067178,2
5,1384.22307131509,82.4289174271371,8.3964651879522,0.454918109883676,7.68621290334571e-08,0.545081813254195,0.489844766226388,2.00018644592874e-07,0.510155033754967,2
6,1391.95931493835,78.348813685325,8.88309120115668,0.458945136752551,9.49857850689637e-09,0.54105485374887,0.478902300615985,1.03986421644708e-08,0.521097688985373,2
7,1452.11623718347,87.2548000281611,8.32112523732108,9.7419897902674e-09,0.999999985645982,4.61202860674006e-09,6.20737908896967e-09,0.999999993101572,6.91048760902351e-10,2
8,1478.73081139415,4.27254599157576,173.05030938342,0.984266649844944,1.96049299583921e-06,0.0157313896620597,0.988887523783931,8.41538987040659e-07,0.0111116346770818,1
9,1481.65549834206,90.7196232910372,8.16612461886425,0.507564470894399,9.23789964306472e-09,0.492435519867701,0.534706136947131,3.92597755376202e-09,0.465293859126891,2
10,1551.07370008868,93.1582365060935,8.32494129484315,0.374519098612635,3.48033771048199e-09,0.625480897907027,0.379127280832026,2.00839452751008e-09,0.620872717159579,4
11,1552.93932039095,95.2091004397225,8.15541431028499,0.382943839426238,1.334912739791e-08,0.617056147224635,0.399846503150188,1.19251830921403e-09,0.600153495657294,1
12,1559.16393872393,97.831633733907,7.96860830804848,0.508211516214434,5.8056591632863e-10,0.491788483205,0.510750232261446,3.40128141313152e-09,0.489249764337272,3
13,1597.21056575025,66.5520434680879,11.9997109218451,9.15929852626426e-11,0.999999996744465,3.1639416548262e-09,5.39966787066728e-09,0.999999991174257,3.42607502622919e-09,3
14,1656.34548597824,77.2677651768627,10.7182178893549,0.492394466723387,1.47441480086635e-09,0.507605531802198,0.508868263677541,8.30869337136057e-09,0.491131728013766,2
15,1661.98102831083,0.834902921317646,995.313937629951,2.92582635967757e-08,0.999998941940335,1.02880140154942e-06,3.01663405130804e-07,0.999999267100483,4.31236112178633e-07,3
16,1665.59561786146,0.495742599263676,1679.89962970235,1.76024754897249e-06,0.999995672505359,2.56724709193247e-06,1.34683163988345e-06,0.999998554573676,9.85946841381143e-08,5
17,1666.40326462635,0.0938289606327382,8880.00492272808,0.356673456211481,5.92346151826652e-05,0.643267309173337,0.507423376944558,4.27543935478166e-05,0.492533868661894,4
18,1666.82083750025,1.11752954676863,745.761417369196,0.160202509919765,1.43467418045177e-06,0.839796055406055,0.834323531166877,1.36981225322204e-06,0.16567509902087,4
19,1689.54229611763,3.14067987342122,268.977158483392,7.5657412004398e-07,0.999998228023327,1.01540255328669e-06,7.49954464119277e-07,0.999998049262841,1.20078269498033e-06,5
20,1695.3217544853,4.76910209752138,177.740140577658,1.43284891255897e-05,0.999978721299524,6.95021135019572e-06,5.70917554547582e-07,0.99999800827518,1.42080726583574e-06,2
21,1699.0714814088,6.44364640092088,131.840837911744,1.16918910534221e-07,0.99999930589195,5.77189139295888e-07,5.38091279831568e-07,0.999999397949498,6.39592220374614e-08,3
22,1700.12912420619,6.34851915834714,133.899660834356,2.18704370569367e-06,0.999997736957755,7.59985393316443e-08,1.11732218131015e-06,0.999998591146068,2.9153175102648e-07,3
23,1729.50750764929,60.0221678416418,14.4072396069757,5.67121443587055e-08,0.999999921567298,2.17205578175602e-08,3.60704558653744e-08,0.999999958539977,5.3895666815704e-09,5
24,1738.44745669209,10.1944698084108,85.2642407777701,2.97508381732367e-07,0.999999665202961,3.72886576435752e-08,1.07368298236868e-06,0.999998591673467,3.34643550820617e-07,4
25,1751.09783856892,65.3962147026478,13.3883730620422,0.657893410562264,2.04467245119672e-08,0.342106568991012,0.658742176074473,6.69954544015679e-08,0.341257756930073,5
26,1759.66587364755,71.698426233875,12.2713005436664,0.657007249788173,2.64363449134936e-08,0.342992723775482,0.659126687268247,2.95162087770812e-08,0.340873283215544,5
27,1768.49325697557,18.2653841893326,48.4110610169484,4.95919698004043e-06,0.999991646823352,3.39397966821999e-06,7.9797489769807e-06,0.999991196451148,8.23799875151523e-07,3
28,1780.6800488739,73.8387737388407,12.0578928841097,0.497624241221388,8.2539306402714e-10,0.502375757953219,0.496482520510376,1.43728159020191e-09,0.503517478052343,4
29,1785.01269050988,25.7515798880915,34.6583141358123,4.08786483913653e-08,0.999999520802788,4.3831856363437e-07,2.22782817874054e-07,0.999999582419821,1.94797361386405e-07,5
30,1786.92431116142,24.9901210732062,35.7526141215321,1.07581065516997e-06,0.999998455675387,4.68513958265105e-07,2.83716889411374e-07,0.999999533075139,1.83207971146355e-07,3
31,1816.21203637794,26.0949369443491,34.8000847875442,3.01194558714374e-06,0.999990194456687,6.79359772566182e-06,9.24917470925864e-07,0.999998742854739,3.32227790098955e-07,5
