comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Forward,Backward,pml_fraction,mode_class,matched_theory_index,theory_real_Hz,theory_imag_Hz,theory_Forward,theory_Backward,pair_quality
1,1256.43837528062,123.027638348519,5.10632566855146,0.46032963649263,0.54377373525578,0.104458044257901,physical,1,1238.45018702743,36.7777667641883,0.485891580350894,0.511570016078673,low
2,1308.98491253689,134.12501806633,4.8797194267275,0.471295086806733,0.535817603769146,0.0953808976958482,physical,4,1383.91648337785,83.7537514911422,0.497532820444443,0.520987295695781,low
3,1310.22044607279,131.524851013598,4.98088549797076,0.457226515774251,0.52889036221816,0.0929930919829458,physical,5,1384.22307131509,82.4289174271371,0.454918109883676,0.489844766226388,low
4,1319.37427972494,117.864168048509,5.59701180422339,0.463753163028643,0.518363877856156,0.0801959949403215,physical,2,1325.84659038722,61.2413782576117,0.487183078095113,0.520098337247134,moderate
5,1331.93625294502,94.6806025386571,7.03383912455146,2.20556748340982e-07,2.64323439412716e-08,0.02663992725398,physical,3,1368.07060627382,70.1256620880059,3.2387672487745e-07,1.18483532974425e-08,low
6,1403.14659536679,130.385501787558,5.38076157291239,1.1371172758508e-08,6.56627279402441e-09,0.0357670754065612,physical,6,1391.95931493835,78.348813685325,0.458945136752551,0.478902300615985,moderate
7,1425.23785969866,113.080690056145,6.3018622321416,0.491708534337651,0.533256402674332,0.0587444175770813,physical,7,1452.11623718347,87.2548000281611,9.7419897902674e-09,6.20737908896967e-09,ambiguous
8,1479.18182971742,4.27605472084719,172.961050113077,0.989618692273398,0.993294108429061,0.00186408986642442,physical,8,1478.73081139415,4.27254599157576,0.984266649844944,0.988887523783931,high
9,1504.90641280208,114.668690543904,6.56197609680513,0.400153299953008,0.406374477280652,0.0514139765189747,physical,9,1481.65549834206,90.7196232910372,0.507564470894399,0.534706136947131,low
10,1505.81253190047,119.410874468494,6.30517337136564,0.40014080671742,0.430007597796744,0.0536086180716204,physical,11,1552.93932039095,95.2091004397225,0.382943839426238,0.399846503150188,low
11,1510.22146268127,122.685649533979,6.15484153369949,0.508179613247785,0.516653097750277,0.054784701748745,physical,12,1559.16393872393,97.831633733907,0.508211516214434,0.510750232261446,low
12,1548.16512362716,103.698075787909,7.46477266749669,1.07113590607575e-08,2.35452185057748e-08,0.0261423927475097,physical,10,1551.07370008868,93.1582365060935,0.374519098612635,0.379127280832026,moderate
13,1618.27619685483,103.977750787484,7.78183882897394,0.492779196426187,0.512659359028176,0.0394006453527883,physical,13,1597.21056575025,66.5520434680879,9.15929852626426e-11,5.39966787066728e-09,low
14,1662.80230949227,0.990594723316899,839.294956026294,1.25212437920425e-08,4.07355409273469e-07,0.00189062718740114,physical,15,1661.98102831083,0.834902921317646,2.92582635967757e-08,3.01663405130804e-07,high
15,1665.99268954057,0.497018554751826,1675.98641299463,1.27250209383772e-06,1.54404392058015e-06,0.00179411232260217,physical,16,1665.59561786146,0.495742599263676,1.76024754897249e-06,1.34683163988345e-06,high
16,1667.07548297936,0.1114468280868,7479.24149838055,0.336992016149355,0.516206679460746,3.7840167851684e-05,physical,17,1666.40326462635,0.0938289606327382,0.356673456211481,0.507423376944558,high
