comsol_index,comsol_real_Hz,comsol_imag_Hz,comsol_Forward,comsol_Backward,matlab_row,matlab_real_Hz,matlab_imag_Hz,matlab_Forward,matlab_Backward,real_relative_error,imag_relative_error,complex_frequency_pass
1,1238.54643052215,124.29194224482,0.500111776607356,0.500029524428536,32,1129.14433341323,142.66318230524,0.969348808005298,0.962160383314254,0.0883310422708966,0.14780716857923,0
2,1245.52334629688,124.18981111741,0.482664353105741,0.476914316653785,29,1116.00932388886,140.597011713458,0.979329950511303,0.97159776163333,0.103983616841132,0.132113902488639,0
3,1258.2216515788,137.900502172882,0.0558901453565955,0.0181648189530496,31,1129.01350574522,146.828970446974,0.990543691518854,0.964211462168005,0.102691084413824,0.0647457270525284,0
4,1319.23669713957,122.076298404301,0.501996753710504,0.498019035034932,27,1086.81285485194,137.919026601254,7.50217755967314e-08,2.90658084118163e-08,0.176180546517226,0.129777265562918,0
5,1319.3022474289,120.865759704282,0.501551605339047,0.497567564883096,33,1130.98878911078,94.9845927515929,8.35478160796585e-07,2.96857763878592e-07,0.142737161772529,0.214131504373212,0
6,1390.59973290855,129.839115518904,0.00278818673886066,0.00224381490218271,30,1116.6607403727,144.470019470122,0.989092748124779,0.979420452518506,0.196993416619522,0.112684870755206,0
7,1408.28677957762,118.472807197112,0.500052004974827,0.499957531135925,55,1369.01295650151,79.4089113835599,0.504584119279611,0.234974749408962,0.027887660131191,0.329728793786059,0
8,1414.22200447403,116.628346339711,0.494866901547541,0.498833636068674,58,1378.00178840261,89.4468754515633,0.474356233950524,0.628980514534117,0.0256114075136958,0.233060587251871,0
9,1504.03238823443,114.384484738556,0.491796830052601,0.50830419919802,59,1378.07733129644,113.582260422317,6.22334177963767e-05,1.6895787593554e-05,0.0837449099655677,0.00701340149472722,1
10,1504.29622384693,114.567569368849,0.491174813265288,0.508299967955254,70,1601.01022749761,116.496963595238,0.507667330141552,0.559287693179962,0.0642918609496697,0.0168406664906832,1
11,1527.12882519542,119.767052294721,0.00127445215250311,0.000697338239439141,123,1891.26408469296,126.586752077789,0.052284086812471,0.458916986246218,0.238444362708525,0.0569413678670674,0
12,1606.42688562248,109.615485539056,0.501167359713271,0.498685888933194,69,1590.51308940501,99.8155462450709,0.45619648693243,0.553498575420849,0.00990633085134373,0.0894028726488045,1
13,1609.9906562647,108.059878579242,0.501114873345791,0.497459774403926,68,1587.53217064632,100.590100053771,0.437092038521291,0.454960375007516,0.0139494509058116,0.0691262901983856,1
14,1656.91598666034,0.237339268663356,0.49854607767547,0.498567235742163,4,971.525902100349,-0.0144511922856412,0,0,0.41365409596986,0.251790460948997,0
15,1664.01070650559,112.035063765927,0.000204236060848869,0.0013734298276825,122,1890.7869348466,124.159261392549,0.12892979796322,0.951654875436178,0.136282914199055,0.108217884821781,0
16,1668.82841165628,0.304283140046213,0.363620752813752,0.403124866988884,86,1676.02458517642,0.111287978455738,0.356714186241564,0.544820647490858,0.00431211110134325,0.192995161590475,0
17,1668.89927281397,0.707542050417104,0.458834348479866,0.539991826745072,38,1182.27691017576,0.788096553662039,9.10013080656784e-05,0.0001684800465315,0.291582823819981,0.080554503244935,0
18,1668.90270021127,0.639926085914018,0.131609065477535,0.666345624860873,87,1676.28932920576,1.05412943439551,0.177793945240578,0.807269871697494,0.00442603933324263,0.414203348481492,0
19,1668.90474515994,0.574902314891043,0.437014713691335,0.560600877276721,85,1675.12527641771,0.519899813430324,0.00196817481972052,0.011180790297769,0.00372731354249575,0.0550025014607191,1
20,1670.87460416957,3.38506414493191,0.371619577768552,0.393603718584754,66,1503.62359455929,3.70171666256624,0.938015029031739,0.941024523086665,0.100097882386215,0.0935440228240341,0
21,1671.60381834227,5.75916009117136,0.332092081911933,0.434100390249687,94,1706.77507414207,7.38159016741785,0.0072310535790902,0.00798437909784647,0.0210404256163278,0.281712966919192,0
22,1671.86242971785,6.02140032532576,0.495289350625708,0.507421587251152,93,1704.31972235159,8.01582105608121,0.204564530178982,0.0520492195025107,0.0194138537099715,0.331222078420363,0
23,1671.98267662231,4.97592214381436,0.496077610419703,0.504083019892134,92,1699.91920324664,4.91317064816036,0.025426210002676,0.0500392984512643,0.0167086220538879,0.01261102843661,1
24,1675.23810675505,10.9691892954476,0.36964634717126,0.39387094067546,78,1661.02885240849,10.8326897034406,0.207973623602957,0.408600555301305,0.00848193118892427,0.0124439088733431,1
25,1677.03261536071,16.0114300750923,0.350762865368645,0.416684155522286,82,1670.97916324462,15.939921622919,0.000591866316895606,0.288303532985153,0.00360962098211073,0.00446608777841396,1
26,1677.36598726932,16.0542652453041,0.502105103641672,0.505394135999911,83,1672.03223372714,15.0216040032496,0.167322151781059,0.413799366342653,0.00317983885607639,0.0643231705889846,1
27,1678.17821138784,10.9166123056512,0.501721170697695,0.500037335616925,96,1710.09553668198,10.4109685738819,0.00519610171685884,0.00796510680789477,0.019019032113249,0.046318740430815,1
28,1682.25871452866,23.286273082574,0.361105836239437,0.401521972541311,108,1793.30657261037,24.3678467043289,0.00587367162245163,0.00534795605676278,0.0660111652997582,0.046446832342797,1
29,1683.06984144479,21.7804140515913,0.510667686327764,0.496741711796496,80,1667.29151127122,20.4880083907524,0.00261141664989025,0.278272298918204,0.0093747328750335,0.0593379748326903,1
30,1685.40740653034,31.2869217498403,0.343444714613334,0.418812449732207,89,1697.56248929779,33.2764092061924,0.112033446707782,0.366853200300195,0.00721195523429737,0.0635884690817259,1
31,1685.7160524647,31.1713961834092,0.544384060289837,0.455523453652687,91,1699.62602412216,29.4503406402238,0.0097052312315331,0.0419218848889142,0.00825166945353711,0.0552126549949477,1
32,1691.83914239452,39.4675740764821,0.508411247125418,0.514957797759405,88,1696.00052895197,34.2362268363793,0.0141620688991744,0.173420304272493,0.00245968216077577,0.132547980526121,0
33,1692.06346886954,40.4572114052231,0.341246654834086,0.420869568716255,129,1924.54186170323,32.7697036182353,0.0119212107108043,0.1824229237526,0.137393423539253,0.190015760354539,0
34,1696.45800580698,51.4543029113664,0.313959233284987,0.441399834876072,101,1746.89977303039,49.0721084497447,0.155131204577657,0.129373977671864,0.0297335784621533,0.0462972837417542,1
35,1696.70350865522,51.1986627614964,0.632392580900756,0.369210644539402,103,1748.85827253574,50.7827019197219,0.0626906777343686,0.0675692558229086,0.030738879017146,0.00812444738473364,1
36,1703.89519226423,60.2005535206131,0.429350690691355,0.60794281250401,98,1740.29795955061,56.8236492806149,0.133735180420427,0.0948311099856857,0.0213644404019979,0.0560942390478506,1
37,1704.56224746431,60.5565024897901,0.327891211254782,0.450610819760019,97,1740.27876276176,60.3476008654408,0.0779579961288572,0.272516595592236,0.0209534825440264,0.00344969765029802,1
38,1711.31713327294,89.4274304531116,0.333833567124484,0.663371702744909,79,1666.22236697482,92.604566596234,1.47651384207368e-05,1.08584904968848e-05,0.0263509114829436,0.0355275347510765,1
39,1711.53061649505,89.3772021308924,0.408516486547179,0.484464305717319,67,1537.07120536016,86.8253548481586,3.25078621141537e-06,5.19067893616451e-06,0.101931808554004,0.0285514339439339,0
40,1713.29469971454,84.668328783489,0.395580395854642,0.512528266084751,65,1497.9399074334,84.8565274757986,0.503724835766824,0.496444082939628,0.125696292831012,0.00222277556453079,0
41,1713.6680285759,85.1126780977825,0.182877764018817,0.760663927954495,109,1806.26304996417,86.4926638214221,0.0010688394478907,0.000620959425892843,0.0540332315502313,0.0162136329684537,1
42,1714.20191700681,105.242348814859,0.503624643827692,0.496323380997401,95,1707.03450696719,107.995616412593,0.503729085003837,0.469111575875071,0.00418119357382063,0.0261612138909738,1
43,1715.30858420842,105.413784503928,0.50328750066656,0.496463531070468,115,1812.59340693474,114.078854300916,0.640879365443833,0.7718803849844,0.0567156391695055,0.0822005379824412,1
44,1716.83335858735,138.038059874239,0.456580692054107,0.552862212964056,114,1811.90063092098,130.263513528601,0.725229781116754,0.540307547049155,0.0553736166985091,0.0563217590331324,1
45,1716.86166439004,138.021798574839,0.388742809334453,0.531163031905479,120,1888.4854865928,137.404584630199,0.217783049088221,0.666688235356978,0.0999636870939942,0.00447185843839982,1
46,1716.9865095912,138.121253794808,0.358246985507986,0.295075353878123,117,1828.39482502334,152.336250405632,0.54481660274894,0.523561059698029,0.0648859585149946,0.102916793905894,0
47,1717.01111002861,138.099130104158,0.385583065034022,0.373293530123701,121,1888.63835047942,132.794195023109,0.348297619061144,0.921567851149406,0.0999569772428266,0.0384139644981679,1
48,1721.45516704182,201.116183270501,0.356731850940062,0.0228199409778789,137,1991.38490810631,174.235166315488,0.902313101177715,0.433341002251733,0.156803236141399,0.13365914427114,0
49,1721.46040024709,201.111442747734,0.488529387357455,0.554109081695466,135,1990.55741402896,177.230590241526,0.310790368540637,0.449866122137536,0.156319026416899,0.118744374660785,0
50,1721.46858861476,201.108673772219,0.447382781700989,0.276124951111499,134,1990.13244955112,184.410262867716,0.883522400009142,0.178759532490595,0.156066664656687,0.0830317787457345,0
51,1721.47202706524,201.102095402381,0.698698028045273,0.464597626878323,136,1991.04076190456,189.800507459591,0.5328909730585,0.491803771613101,0.156591992551212,0.0561982604914031,0
52,1724.19709626787,76.839612426426,0.364586515861552,0.603543840654173,50,1322.29759685489,76.5994710421298,8.29877774832273e-06,4.48913653303316e-05,0.233093710854122,0.00312522898948937,0
53,1725.07841265377,78.1084688502828,0.412766623791905,0.488836008363925,60,1381.76452288921,76.1575489030114,0.537763643870401,0.684272829844595,0.199013498311896,0.0249770604390018,0
54,1766.68672753308,80.6989678034914,0.569511208621494,0.42366411106945,113,1809.74640207897,80.5275991875463,0.0293001373509993,0.105790415506327,0.0243731239244756,0.00212355400086895,1
55,1767.14484244587,80.2794907045042,0.405804669613473,0.423546478958489,146,2096.20057063391,79.3100762847654,0.000295967001401852,5.77809237694459e-06,0.186207559382965,0.0120754928965239,0
56,1801.46606646263,104.712709983924,0.00096623616002195,0.000688865032746496,131,1954.12831327072,117.040644795781,0.652342960326888,0.510797896850126,0.0847433374683868,0.117731026288496,0
57,1817.15915518322,84.3176518003741,0.523090719470459,0.464705177073638,133,1960.76776509416,71.717769652882,0.000369844469884041,0.000147223514708136,0.0790291865747226,0.149433503880337,0
58,1818.21917547836,84.4354258700897,0.499498833153572,0.4463446328577,112,1809.01602184658,84.5347646700801,0.0406568800110059,0.0204302952085481,0.00506163049862165,0.00117650617577546,1
59,1826.73176916116,100.451800858711,0.502708521738562,0.497108374497899,110,1806.49389390721,90.8875018558664,0.00176922542885105,0.0459802071085242,0.011078733942008,0.0952128177004723,1
60,1828.27845635112,99.3931368585087,0.502656175319584,0.496642026810267,111,1806.51155657094,94.7336879727135,0.135414583289633,0.110703854545927,0.0119056808357423,0.0468789801093426,1
