comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Forward,Backward,pml_fraction,mode_class,matched_theory_index,theory_real_Hz,theory_imag_Hz,theory_Forward,theory_Backward,pair_quality
1,1256.43837528062,123.027638348519,5.10632566855146,0.46032963649263,0.54377373525578,0.104458044257901,physical,9,1232.13955452167,26.9783109337336,0.50578048431177,0.508807869439908,low
2,1308.98491253689,134.12501806633,4.8797194267275,0.471295086806733,0.535817603769146,0.0953808976958482,physical,11,1317.58881124045,33.6926370992896,0.494872142410406,0.502430290442217,ambiguous
3,1310.22044607279,131.524851013598,4.98088549797076,0.457226515774251,0.52889036221816,0.0929930919829458,physical,10,1312.28606636424,41.0692323925558,5.65024675981349e-05,5.53158692401015e-05,ambiguous
4,1319.37427972494,117.864168048509,5.59701180422339,0.463753163028643,0.518363877856156,0.0801959949403215,physical,12,1353.82382200009,103.5550622561,0.745358639950802,0.785915859239751,low
5,1331.93625294502,94.6806025386571,7.03383912455146,2.20556748340982e-07,2.64323439412716e-08,0.02663992725398,physical,14,1358.24738773052,60.0931495731522,2.58035994188041e-05,1.47084250416429e-06,ambiguous
6,1403.14659536679,130.385501787558,5.38076157291239,1.1371172758508e-08,6.56627279402441e-09,0.0357670754065612,physical,17,1386.86833296419,46.4085663554996,0.526360716632636,0.10326886301086,low
7,1425.23785969866,113.080690056145,6.3018622321416,0.491708534337651,0.533256402674332,0.0587444175770813,physical,16,1367.04640779796,107.853588323469,0.778875394784763,0.815744406885286,low
8,1479.18182971742,4.27605472084719,172.961050113077,0.989618692273398,0.993294108429061,0.00186408986642442,physical,18,1393.99220560374,51.6480416569263,0.888652572013619,0.591996516483719,low
9,1504.90641280208,114.668690543904,6.56197609680513,0.400153299953008,0.406374477280652,0.0514139765189747,physical,19,1398.4643510565,42.5931664737642,0.533965796807685,0.625428165465344,low
10,1505.81253190047,119.410874468494,6.30517337136564,0.40014080671742,0.430007597796744,0.0536086180716204,physical,20,1502.87176861015,4.47545735077861,0.838614202605988,0.843422569691659,moderate
11,1510.22146268127,122.685649533979,6.15484153369949,0.508179613247785,0.516653097750277,0.054784701748745,physical,21,1512.6041993709,42.6776050267306,0.543525855910832,0.531628521267108,high
12,1548.16512362716,103.698075787909,7.46477266749669,1.07113590607575e-08,2.35452185057748e-08,0.0261423927475097,physical,22,1522.26510597985,43.8937948321865,1.48132396357618e-05,3.18067399595775e-05,low
13,1618.27619685483,103.977750787484,7.78183882897394,0.492779196426187,0.512659359028176,0.0394006453527883,physical,26,1577.64757268307,165.594489550414,0.528945045390506,0.76374207057686,low
14,1662.80230949227,0.990594723316899,839.294956026294,1.25212437920425e-08,4.07355409273469e-07,0.00189062718740114,physical,29,1617.64478201838,67.2364755665046,0.451421361422823,0.557355535351061,low
15,1665.99268954057,0.497018554751826,1675.98641299463,1.27250209383772e-06,1.54404392058015e-06,0.00179411232260217,physical,34,1653.57176211671,7.12583780552771,0.349867928553846,0.285798863919334,ambiguous
16,1667.07548297936,0.1114468280868,7479.24149838055,0.336992016149355,0.516206679460746,3.7840167851684e-05,physical,28,1607.46308957612,58.7395515775524,0.472385964616874,0.648206648691913,low
17,1667.45530344692,0.987196591211235,844.540650915866,0.115695632932044,0.877973971475163,0.000335002035610094,physical,24,1560.91962656059,170.258019378544,0.827032989623207,0.833617220041499,low
18,1668.65277324633,0.719680522993558,1159.30105090622,2.85521729216783e-05,8.69175500422163e-05,0.829458234143763,PML-dominated,31,1646.9388819356,5.43312365148299,0.0447606323700754,0.526859307558098,low
19,1668.65393137292,0.721486343704357,1156.40021875223,4.42438958662246e-05,0.000164201169929492,0.824349211675402,PML-dominated,25,1576.30468484795,169.746455640546,0.836755477576425,0.803190755811678,low
20,1668.65507230657,0.675065919695458,1235.92009581772,6.14635810895223e-07,1.22960634596708e-05,0.808599621306404,PML-dominated,32,1648.8377501172,5.38764862346479,0.0825535968054906,0.435557413569004,low
21,1668.65815444543,0.646456493279185,1290.61906856335,9.11559261131507e-06,5.4262457457607e-05,0.783058338593712,PML-dominated,36,1674.98588406305,0.346698809370191,0.00261531071691471,0.0142326466477537,moderate
22,1671.34564679514,6.36537299629035,131.284187727033,2.99080612981442e-06,6.30702600961648e-07,0.424030400456663,PML-dominated,27,1604.06194658941,58.2061201555277,0.499207444009143,0.459549581073372,low
23,1671.36918332475,6.33107358450178,131.997295641627,2.22747921651935e-06,7.82579944361932e-08,0.416671506432247,PML-dominated,30,1642.56929522053,46.3902785883062,1.23137369785737e-05,1.17138663513388e-05,low
24,1671.39594749049,6.00115811217681,139.256116590154,2.67161799294153e-06,1.46334822801551e-05,0.385660402994992,PML-dominated,33,1653.04876441812,6.68527302270134,0.224878300716918,0.616513506163382,low
25,1671.5419820552,5.65021207085068,147.918517136609,9.10331703883593e-07,5.55370946669098e-06,0.339567819721904,PML-dominated,35,1672.76296548525,1.24769204512015,6.7752201598908e-06,0.000288832502779204,high
26,1676.08603444147,106.595246990881,7.86191730755525,2.54727552159847e-08,1.48020274092303e-08,0.0255083496859625,physical,23,1560.74991421024,163.03213866756,0.482489853797667,0.754498249425355,ambiguous
27,1676.74702818993,17.5806267662835,47.6873506980317,2.12410870548978e-06,9.91197026281735e-08,0.340990511230644,PML-dominated,38,1676.090310707,0.965258870784362,0.208439705618539,0.780766594528533,ambiguous
28,1676.75248464041,17.4202542571584,48.1265215733401,1.22649713337982e-06,2.5445852345799e-07,0.33670526678446,PML-dominated,37,1676.0496792182,0.107822424224279,0.358322499711935,0.553138973595082,ambiguous
29,1676.90307243655,16.5364163651731,50.7033396899778,2.87821033573377e-06,3.79525985755422e-06,0.320345369802488,PML-dominated,40,1682.83091172206,8.44505745536234,0.0129019952189453,0.633892069949576,ambiguous
30,1677.40415179825,15.1413596102825,55.3914640089228,4.5010636955341e-07,2.00692604693911e-07,0.287276120203001,physical,39,1682.77411391903,8.59502266452638,0.42636383338695,0.594504087049452,ambiguous
31,1684.95264395127,33.8578670597659,24.8827346533228,8.70210572670315e-07,3.8453384441329e-07,0.355266883615555,PML-dominated,42,1684.60328525019,9.36104214475367,0.0976248768531604,0.43457522128679,ambiguous
32,1685.0395971757,34.1910416743284,24.6415364180155,1.82461267001143e-06,3.54837026115169e-08,0.357340992329365,PML-dominated,41,1684.53278801757,9.39566578091569,0.263996769100551,0.0513011052384439,ambiguous
33,1685.29740685347,32.1072319117138,26.2448256437611,4.29399126926709e-06,1.81827977976075e-06,0.340658480078616,PML-dominated,70,1937.85627444542,16.5817910180112,0.257477444802855,0.514024265084467,ambiguous
34,1686.4792544583,28.880735164896,29.1973047920917,6.07121745907395e-07,4.28760725189522e-08,0.297698279144523,physical,65,1881.86956498813,7.35572605363934,0.00162220705885319,0.00099922972401939,ambiguous
35,1695.52952330473,55.4622803876531,15.2854292273401,6.87949847055359e-07,5.50048827319811e-07,0.368221505688126,PML-dominated,68,1923.33817470926,9.46153112118696,0.01145604024019,0.223488786249489,ambiguous
36,1695.81530588029,55.8700757023366,15.1764185439377,1.77157507841576e-06,1.81130085401362e-08,0.36880001339971,PML-dominated,44,1711.50960816601,3.05992660180805,0.0435226110283336,0.0177394471127764,ambiguous
37,1696.12174008008,52.8142788433386,16.0574164527668,6.65463839732566e-06,1.46471690671789e-06,0.349550092240131,PML-dominated,55,1800.87539252405,19.512777963859,0.0250526776641998,0.034288069512135,ambiguous
38,1699.69740668137,47.7943517545619,17.781362695427,8.89440170277151e-07,1.35733995128264e-07,0.288496307649209,physical,43,1705.65259757526,2.7000478517136,0.018468301743093,0.014674090596745,moderate
39,1707.66761270323,86.6986560640645,9.84829344667912,2.82414585314185e-06,3.20270138041379e-06,0.394454220009851,PML-dominated,69,1937.35487018871,25.7168182319286,0.000377394386945921,1.22693668314786e-05,ambiguous
40,1707.89981054491,86.90044002729,9.82676157916212,5.69093270230129e-06,7.10424632345164e-07,0.394890184368517,PML-dominated,46,1716.38909919989,3.94416882594214,0.00172763703003852,0.00462407419862174,ambiguous
41,1710.29665486246,85.4805887833037,10.0040060510002,2.72614588214454e-05,1.02516437582224e-05,0.372513320350036,PML-dominated,45,1715.04198539333,2.9491500499938,0.0042182527141053,0.00686146357879994,moderate
42,1711.03147142273,87.8991981642239,9.73291854281753,4.91718677342258e-06,9.53144445912648e-07,0.376193417948671,PML-dominated,51,1777.67370688617,11.7801430282779,0.0104235192386604,0.00511939012568886,low
43,1716.05725249063,99.3040501772569,8.64041924487208,0.802864950919261,0.806368837301667,0.0336622705694516,physical,62,1823.82490621111,82.393391394214,0.696286308020179,0.74151790910392,low
44,1716.41298504369,138.044219314656,6.21689554827113,1.51974907553725e-05,0.000112858909118709,0.488994892955933,PML-dominated,67,1919.29169611609,100.073561702338,0.583166943010999,0.431249786392941,low
45,1716.49636552996,137.86484656837,6.22528660588874,2.62507280416283e-06,3.08074426622838e-07,0.48778076272906,PML-dominated,53,1786.1323880182,19.0634848873023,0.225386477045205,0.0195865483921419,low
46,1716.51804272291,138.071556306308,6.21604510242089,9.12844003265303e-05,0.00110831756632049,0.488365479832559,PML-dominated,64,1839.75417712775,97.9603014224725,0.43046319117529,0.563826152391666,low
47,1716.5181898607,137.866723096732,6.2252810225145,2.03345941904945e-05,1.80265590387317e-06,0.487738500419204,PML-dominated,47,1722.17575633875,63.0247579130524,0.513433399855997,0.475440598051725,moderate
48,1716.65273987886,52.9466512837993,16.2111549857746,8.85520670196825e-07,1.23726283181833e-07,0.213736441962217,physical,50,1777.3741617871,10.2326327362729,0.0115982878016823,0.0201923141353488,low
49,1718.68612145878,104.953585217051,8.18783902381426,0.803604228558071,0.808662950246179,0.0355804936926124,physical,60,1817.81953540997,246.963770998626,0.717041279994541,0.902957121872541,low
