comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Forward,Backward,pml_fraction,mode_class,matched_theory_index,theory_real_Hz,theory_imag_Hz,theory_Forward,theory_Backward,pair_quality
1,1238.54643052215,124.29194224482,4.98240838526186,0.500111776607356,0.500029524428536,0,physical,28,1213.78456085531,57.5428183048154,0.56354528626064,0.646703054685667,low
2,1245.52334629688,124.18981111741,5.01459554165578,0.482664353105741,0.476914316653785,0,physical,29,1214.65375851052,66.1705165975758,0.683876186099116,0.906584240303586,low
3,1258.2216515788,137.900502172882,4.56206334187748,0.0558901453565955,0.0181648189530496,0,physical,30,1232.13955452167,26.9783109337325,0.505780484311827,0.508807869439653,low
4,1319.23669713957,122.076298404301,5.40332855101171,0.501996753710504,0.498019035034932,0,physical,31,1312.28606636425,41.0692323925546,5.65024675977548e-05,5.53158692398553e-05,moderate
5,1319.3022474289,120.865759704282,5.45771710142221,0.501551605339047,0.497567564883096,0,physical,32,1317.58881124045,33.6926370992893,0.494872142410471,0.502430290442206,high
6,1390.59973290855,129.839115518904,5.35508782292221,0.00278818673886066,0.00224381490218271,0,physical,38,1386.86833296419,46.4085663555006,0.52636071663261,0.103268863010866,moderate
7,1408.28677957762,118.472807197112,5.94350219639245,0.500052004974827,0.499957531135925,0,physical,39,1393.99220560374,51.6480416569247,0.888652572014118,0.591996516483736,low
8,1414.22200447403,116.628346339711,6.06294288163329,0.494866901547541,0.498833636068674,0,physical,40,1398.4643510565,42.5931664737638,0.533965796807789,0.625428165465319,low
9,1504.03238823443,114.384484738556,6.57445977779305,0.491796830052601,0.50830419919802,0,physical,41,1502.87176861015,4.47545735077833,0.838614202605996,0.843422569691646,ambiguous
10,1504.29622384693,114.567569368849,6.56510490767184,0.491174813265288,0.508299967955254,0,physical,42,1512.6041993709,42.6776050267307,0.543525855910832,0.531628521267098,ambiguous
11,1527.12882519542,119.767052294721,6.37541292006369,0.00127445215250311,0.000697338239439141,0,physical,43,1522.26510597985,43.8937948321864,1.48132396357203e-05,3.18067399595066e-05,moderate
12,1606.42688562248,109.615485539056,7.32755448613196,0.501167359713271,0.498685888933194,0,physical,44,1560.74991421024,163.032138667561,0.48248985379758,0.754498249425339,ambiguous
13,1609.9906562647,108.059878579242,7.4495301930405,0.501114873345791,0.497459774403926,0,physical,45,1560.91962656059,170.258019378544,0.827032989623215,0.833617220041354,low
14,1656.91598666034,0.237339268663356,3490.60649759253,0.49854607767547,0.498567235742163,0,physical,46,1576.30468484795,169.746455640545,0.836755477576459,0.803190755811587,ambiguous
15,1664.01070650559,112.035063765927,7.42629428043249,0.000204236060848869,0.0013734298276825,0,physical,47,1577.64757268307,165.594489550414,0.528945045390457,0.763742070576848,low
16,1668.82841165628,0.304283140046213,2742.22950933598,0.363620752813752,0.403124866988884,0,physical,48,1604.06194658941,58.2061201555273,0.49920744400913,0.459549581073342,ambiguous
17,1668.89927281397,0.707542050417104,1179.36401930467,0.458834348479866,0.539991826745072,0,physical,49,1607.46308957612,58.739551577552,0.472385964616841,0.648206648691821,ambiguous
18,1668.90270021127,0.639926085914018,1303.98083227655,0.131609065477535,0.666345624860873,0,physical,50,1617.64478201838,67.2364755665063,0.451421361422852,0.557355535351047,ambiguous
19,1668.90474515994,0.574902314891043,1451.46810330398,0.437014713691335,0.560600877276721,0,physical,51,1642.56929522053,46.3902785883056,1.23137369786308e-05,1.17138663514842e-05,ambiguous
20,1670.87460416957,3.38506414493191,246.801025420919,0.371619577768552,0.393603718584754,0,physical,52,1646.9388819356,5.4331236514839,0.0447606323700693,0.526859307557514,low
21,1671.60381834227,5.75916009117136,145.125659981635,0.332092081911933,0.434100390249687,0,physical,53,1648.8377501172,5.38764862346564,0.0825535968056786,0.435557413569796,low
22,1671.86242971785,6.02140032532576,138.826713006115,0.495289350625708,0.507421587251152,0,physical,54,1653.04876441812,6.68527302270034,0.224878300716575,0.616513506163537,ambiguous
23,1671.98267662231,4.97592214381436,168.007318874631,0.496077610419703,0.504083019892134,0,physical,55,1653.57176211671,7.12583780552771,0.349867928553882,0.285798863919712,ambiguous
24,1675.23810675505,10.9691892954476,76.3610719823346,0.36964634717126,0.39387094067546,0,physical,56,1672.76296548525,1.24769204512006,6.77522016056457e-06,0.000288832502788569,ambiguous
25,1677.03261536071,16.0114300750923,52.3698572674511,0.350762865368645,0.416684155522286,0,physical,57,1674.98588406305,0.346698809370544,0.00261531071693959,0.0142326466477921,ambiguous
26,1677.36598726932,16.0542652453041,52.2405093487526,0.502105103641672,0.505394135999911,0,physical,58,1676.0496792182,0.107822424224946,0.358322499712213,0.553138973595429,moderate
27,1678.17821138784,10.9166123056512,76.8635069379123,0.501721170697695,0.500037335616925,0,physical,59,1676.090310707,0.965258870784685,0.208439705618504,0.780766594528544,moderate
28,1682.25871452866,23.286273082574,36.1212528205632,0.361105836239437,0.401521972541311,0,physical,60,1682.77411391903,8.59502266452685,0.426363833386966,0.594504087049601,high
29,1683.06984144479,21.7804140515913,38.6372324570622,0.510667686327764,0.496741711796496,0,physical,61,1682.83091172206,8.44505745536267,0.012901995219526,0.633892069947298,high
30,1685.40740653034,31.2869217498403,26.9346952699004,0.343444714613334,0.418812449732207,0,physical,62,1684.53278801757,9.3956657809154,0.263996769097355,0.0513011052382,ambiguous
31,1685.7160524647,31.1713961834092,27.0394698162721,0.544384060289837,0.455523453652687,0,physical,63,1684.60328525019,9.36104214475407,0.0976248768541983,0.434575221289851,ambiguous
32,1691.83914239452,39.4675740764821,21.4332801291004,0.508411247125418,0.514957797759405,0,physical,64,1705.65259757526,2.70004785171177,0.0184683017430946,0.0146740905967796,ambiguous
33,1692.06346886954,40.4572114052231,20.9117659138896,0.341246654834086,0.420869568716255,0,physical,65,1711.50960816601,3.05992660180798,0.0435226110283998,0.0177394471127785,ambiguous
34,1696.45800580698,51.4543029113664,16.4850936638792,0.313959233284987,0.441399834876072,0,physical,66,1715.04198539333,2.94915004999374,0.00421825271412242,0.00686146357880489,ambiguous
35,1696.70350865522,51.1986627614964,16.5698029708231,0.632392580900756,0.369210644539402,0,physical,67,1716.38909919989,3.94416882594244,0.00172763703005957,0.00462407419864016,ambiguous
36,1703.89519226423,60.2005535206131,14.1518233024286,0.429350690691355,0.60794281250401,0,physical,68,1722.17575633875,63.0247579130513,0.51343339985593,0.475440598051773,low
37,1704.56224746431,60.5565024897901,14.0741470971817,0.327891211254782,0.450610819760019,0,physical,69,1747.94175734961,1.36764640128303,0.0546111408522998,0.00567919631126754,low
38,1711.31713327294,89.4274304531116,9.56818911491709,0.333833567124484,0.663371702744909,0,physical,70,1768.92109953355,5.90525762287133,0.0553271030786358,0.0956484979960989,low
39,1711.53061649505,89.3772021308924,9.57476054122013,0.408516486547179,0.484464305717319,0,physical,71,1777.37416178709,10.2326327362727,0.0115982878017225,0.0201923141352486,ambiguous
40,1713.29469971454,84.668328783489,10.1176834616384,0.395580395854642,0.512528266084751,0,physical,72,1777.67370688617,11.7801430282776,0.0104235192386717,0.00511939012568102,low
41,1713.6680285759,85.1126780977825,10.0670550314909,0.182877764018817,0.760663927954495,0,physical,73,1784.39528276771,42.4447244789807,4.20437847507378e-05,5.58063196063517e-05,ambiguous
42,1714.20191700681,105.242348814859,8.14406907632975,0.503624643827692,0.496323380997401,0,physical,74,1786.1323880182,19.0634848873019,0.225386477045307,0.019586548391915,low
43,1715.30858420842,105.413784503928,8.13607343802602,0.50328750066656,0.496463531070468,0,physical,75,1795.24395444297,249.719352994201,0.759306205558315,0.363575948237464,low
44,1716.83335858735,138.038059874239,6.21869562695782,0.456580692054107,0.552862212964056,0,physical,76,1800.87539252405,19.51277796386,0.0250526776643452,0.0342880695123029,low
45,1716.86166439004,138.021798574839,6.21953083541044,0.388742809334453,0.531163031905479,0,physical,77,1805.15313523805,241.203171450188,0.730464165729658,0.724998019014913,low
46,1716.9865095912,138.121253794808,6.21550435728722,0.358246985507986,0.295075353878123,0,physical,78,1813.02369453601,17.3457642826822,0.0301598424127374,0.0194437847233333,low
47,1717.01111002861,138.099130104158,6.21658915857613,0.385583065034022,0.373293530123701,0,physical,79,1815.88421256871,73.3659534460761,0.688937003426984,0.688406870141875,low
48,1721.45516704182,201.116183270501,4.2797529742459,0.356731850940062,0.0228199409778789,0,physical,80,1817.55890136152,16.4418874066699,0.0135715651916945,0.001292519012031,low
49,1721.46040024709,201.111442747734,4.27986686567212,0.488529387357455,0.554109081695466,0,physical,81,1817.81953540997,246.963770998626,0.717041279994586,0.90295712187483,low
50,1721.46858861476,201.108673772219,4.27994615131454,0.447382781700989,0.276124951111499,0,physical,82,1823.37903800858,241.12148733917,0.569914396837054,0.692311772007412,low
51,1721.47202706524,201.102095402381,4.2800947041869,0.698698028045273,0.464597626878323,0,physical,83,1823.82490621111,82.3933913942117,0.696286308020753,0.741517909103923,low
52,1724.19709626787,76.839612426426,11.2194546655138,0.364586515861552,0.603543840654173,0,physical,84,1838.4763793024,8.16186868544243,0.0289218687544454,0.0133417958937259,low
53,1725.07841265377,78.1084688502828,11.0428384914341,0.412766623791905,0.488836008363925,0,physical,85,1839.75417712775,97.9603014224726,0.430463191175464,0.563826152391585,low
54,1766.68672753308,80.6989678034914,10.9461544281155,0.569511208621494,0.42366411106945,0,physical,86,1881.86956498814,7.35572605363917,0.00162220705884242,0.000999229724023848,low
55,1767.14484244587,80.2794907045042,11.00620362024,0.405804669613473,0.423546478958489,0,physical,87,1895.68996515402,10.2058415465666,0.0021498747900331,0.00105335102973208,low
56,1801.46606646263,104.712709983924,8.60194558396591,0.00096623616002195,0.000688865032746496,0,physical,88,1919.29169611609,100.073561702338,0.583166943011199,0.431249786392866,low
57,1817.15915518322,84.3176518003741,10.7756745852305,0.523090719470459,0.464705177073638,0,physical,89,1923.33817470926,9.46153112118726,0.0114560402403601,0.223488786250979,low
58,1818.21917547836,84.4354258700897,10.7669213291814,0.499498833153572,0.4463446328577,0,physical,90,1937.35487018871,25.7168182319278,0.000377394386947093,1.22693668315936e-05,ambiguous
59,1826.73176916116,100.451800858711,9.0925784980725,0.502708521738562,0.497108374497899,0,physical,91,1937.85627444542,16.5817910180105,0.257477444803106,0.514024265084847,ambiguous
60,1828.27845635112,99.3931368585087,9.19720673950441,0.502656175319584,0.496642026810267,0,physical,92,1956.02331113655,85.0550230397106,0.601485464282238,0.51892110730152,ambiguous
