comsol_index,theory_index,pml_fraction,comsol_real_Hz,theory_real_Hz,real_error_Hz,comsol_imag_Hz,theory_imag_Hz,imag_error_Hz,comsol_Q,theory_Q,comsol_Forward,theory_Forward,Forward_error,comsol_Backward,theory_Backward,Backward_error,pair_cost,pair_ambiguity,pair_quality
1,28,0,1238.54643052215,1213.78456085531,-24.7618696668401,124.29194224482,57.5428183048154,-66.7491239400046,4.98240838526186,10.5467945141795,0.500111776607356,0.56354528626064,0.0634335096532841,0.500029524428536,0.646703054685667,0.146673530257131,2.28524727509227,1.51301418883932,low
2,29,0,1245.52334629688,1214.65375851052,-30.8695877863599,124.18981111741,66.1705165975758,-58.0192945198342,5.01459554165578,9.17820972970171,0.482664353105741,0.683876186099116,0.201211832993375,0.476914316653785,0.906584240303586,0.429669923649801,2.98333651014031,1.51301418883932,low
3,30,0,1258.2216515788,1232.13955452167,-26.0820970571299,137.900502172882,26.9783109337325,-110.922191239149,4.56206334187748,22.8357430816963,0.0558901453565955,0.505780484311827,0.449890338955232,0.0181648189530496,0.508807869439653,0.490643050486603,2.89064090109546,1.51301418883932,low
4,31,0,1319.23669713957,1312.28606636425,-6.95063077531995,122.076298404301,41.0692323925546,-81.0070660117464,5.40332855101171,15.976510758966,0.501996753710504,5.65024675977548e-05,-0.501940251242906,0.498019035034932,5.53158692398553e-05,-0.497963719165692,1.24414987275419,0.906187125812424,moderate
5,32,0,1319.3022474289,1317.58881124045,-1.71343618845003,120.865759704282,33.6926370992893,-87.1731226049927,5.45771710142221,19.5530674455317,0.501551605339047,0.494872142410471,-0.00667946292857596,0.497567564883096,0.502430290442206,0.00486272555910999,0.341916720160446,0.905735655660588,high
6,38,0,1390.59973290855,1386.86833296419,-3.73139994436019,129.839115518904,46.4085663555006,-83.4305491634034,5.35508782292221,14.9419432862939,0.00278818673886066,0.52636071663261,0.523572529893749,0.00224381490218271,0.103268863010866,0.101025048108683,0.779107134042206,0.381088964032532,moderate
7,39,0,1408.28677957762,1393.99220560374,-14.29457397388,118.472807197112,51.6480416569247,-66.8247655401873,5.94350219639245,13.4951119237339,0.500052004974827,0.888652572014118,0.388600567039291,0.499957531135925,0.591996516483736,0.092038985347811,1.55731838933862,0.504162057724974,low
8,40,0,1414.22200447403,1398.4643510565,-15.75765341753,116.628346339711,42.5931664737638,-74.0351798659472,6.06294288163329,16.4165342334657,0.494866901547541,0.533965796807789,0.039098895260248,0.498833636068674,0.625428165465319,0.126594529396645,1.54853287104901,0.504162057724975,low
9,41,0,1504.03238823443,1502.87176861015,-1.16061962428012,114.384484738556,4.47545735077833,-109.909027387778,6.57445977779305,167.901473616857,0.491796830052601,0.838614202605996,0.346817372553395,0.50830419919802,0.843422569691646,0.335118370493626,0.922391175940169,0.0212443889403372,ambiguous
10,42,0,1504.29622384693,1512.6041993709,8.30797552397007,114.567569368849,42.6776050267307,-71.8899643421183,6.56510490767184,17.7212872936929,0.491174813265288,0.543525855910832,0.052351042645544,0.508299967955254,0.531628521267098,0.023328553311844,0.879716182929423,0.0652169910236472,ambiguous
11,43,0,1527.12882519542,1522.26510597985,-4.86371921556997,119.767052294721,43.8937948321864,-75.8732574625346,6.37541292006369,17.3403223826937,0.00127445215250311,1.48132396357203e-05,-0.00125963891286739,0.000697338239439141,3.18067399595066e-05,-0.000665531499479634,0.558303171796626,1.34495081076073,moderate
12,44,0,1606.42688562248,1560.74991421024,-45.6769714122402,109.615485539056,163.032138667561,53.416653128505,7.32755448613196,4.78663264484544,0.501167359713271,0.48248985379758,-0.018677505915691,0.498685888933194,0.754498249425339,0.255812360492145,4.00388630782173,0.0435057453601762,ambiguous
13,45,0,1609.9906562647,1560.91962656059,-49.0710297041101,108.059878579242,170.258019378544,62.198140799302,7.4495301930405,4.58398268774086,0.501114873345791,0.827032989623215,0.325918116277424,0.497459774403926,0.833617220041354,0.336157445637428,4.48926711554273,0.214980289770886,low
14,46,0,1656.91598666034,1576.30468484795,-80.6113018123899,0.237339268663356,169.746455640545,169.509116371882,3490.60649759253,4.64311516520243,0.49854607767547,0.836755477576459,0.338209399900989,0.498567235742163,0.803190755811587,0.304623520069424,7.92893790513185,0.0493051764133735,ambiguous
15,47,0,1664.01070650559,1577.64757268307,-86.36313382252,112.035063765927,165.594489550414,53.559425784487,7.42629428043249,4.76358717299819,0.000204236060848869,0.528945045390457,0.528740809329608,0.0013734298276825,0.763742070576848,0.762368640749165,7.90176521318328,0.214624559411115,low
16,48,0,1668.82841165628,1604.06194658941,-64.7664650668701,0.304283140046213,58.2061201555273,57.9018370154811,2742.22950933598,13.7791519371446,0.363620752813752,0.49920744400913,0.135586691195378,0.403124866988884,0.459549581073342,0.056424714084458,6.20129553632543,0.116245373955835,ambiguous
17,49,0,1668.89927281397,1607.46308957612,-61.4361832378499,0.707542050417104,58.739551577552,58.0320095271349,1179.36401930467,13.682970387115,0.458834348479866,0.472385964616841,0.013551616136975,0.539991826745072,0.648206648691821,0.108214821946749,5.80693118942828,0.0787483901143761,ambiguous
18,50,0,1668.90270021127,1617.64478201838,-51.25791819289,0.639926085914018,67.2364755665063,66.5965494805923,1303.98083227655,12.0295179691439,0.131609065477535,0.451421361422852,0.319812295945317,0.666345624860873,0.557355535351047,-0.108990089509826,5.14384635925498,0.0576887710379329,ambiguous
19,51,0,1668.90474515994,1642.56929522053,-26.33544993941,0.574902314891043,46.3902785883056,45.8153762734146,1451.46810330398,17.7038093454627,0.437014713691335,1.23137369786308e-05,-0.437002399954356,0.560600877276721,1.17138663514842e-05,-0.56058916341037,3.30674212469349,0.116615219346449,ambiguous
20,52,0,1670.87460416957,1646.9388819356,-23.93572223397,3.38506414493191,5.4331236514839,2.04805950655199,246.801025420919,151.564641961147,0.371619577768552,0.0447606323700693,-0.326858945398483,0.393603718584754,0.526859307557514,0.13325558897276,2.2926270459534,0.195459372576574,low
21,53,0,1671.60381834227,1648.8377501172,-22.7660682250701,5.75916009117136,5.38764862346564,-0.371511467705719,145.125659981635,153.020163836944,0.332092081911933,0.0825535968056786,-0.249538485106254,0.434100390249687,0.435557413569796,0.001457023320109,2.03237062583391,0.161253429659659,low
22,54,0,1671.86242971785,1653.04876441812,-18.81366529973,6.02140032532576,6.68527302270034,0.66387269737458,138.826713006115,123.633601709689,0.495289350625708,0.224878300716575,-0.270411049909133,0.507421587251152,0.616513506163537,0.109091918912385,1.77285158954402,0.0816415039101759,ambiguous
23,55,0,1671.98267662231,1653.57176211671,-18.4109145056,4.97592214381436,7.12583780552771,2.14991566171335,168.007318874631,116.026480481635,0.496077610419703,0.349867928553882,-0.146209681865821,0.504083019892134,0.285798863919712,-0.218284155972422,1.7688667423446,0.0849800712691938,ambiguous
24,56,0,1675.23810675505,1672.76296548525,-2.47514126979991,10.9691892954476,1.24769204512006,-9.72149725032754,76.3610719823346,670.342883096723,0.36964634717126,6.77522016056457e-06,-0.369639571951099,0.39387094067546,0.000288832502788569,-0.393582108172671,0.893961245966193,0.00629072874801773,ambiguous
25,57,0,1677.03261536071,1674.98588406305,-2.04673129766002,16.0114300750923,0.346698809370544,-15.6647312657218,52.3698572674511,2415.62105030603,0.350762865368645,0.00261531071693959,-0.348147554651705,0.416684155522286,0.0142326466477921,-0.402451508874494,1.048251720888,0.0282700767890076,ambiguous
26,58,0,1677.36598726932,1676.0496792182,-1.3163080511199,16.0542652453041,0.107822424224946,-15.9464428210792,52.2405093487526,7772.26857616149,0.502105103641672,0.358322499712213,-0.143782603929459,0.505394135999911,0.553138973595429,0.047744837595518,0.78597784576708,0.159433029575651,moderate
27,59,0,1678.17821138784,1676.090310707,-2.08790068083999,10.9166123056512,0.965258870784685,-9.95135343486651,76.8635069379123,868.20767020999,0.501721170697695,0.208439705618504,-0.293281465079191,0.500037335616925,0.780766594528544,0.280729258911619,0.798135508772043,0.233757333684348,moderate
28,60,0,1682.25871452866,1682.77411391903,0.515399390370021,23.286273082574,8.59502266452685,-14.6912504180471,36.1212528205632,97.8923604741688,0.361105836239437,0.426363833386966,0.065257997147529,0.401521972541311,0.594504087049601,0.19298211450829,0.320833565524736,0.158952956454133,high
29,61,0,1683.06984144479,1682.83091172206,-0.238929722730063,21.7804140515913,8.44505745536267,-13.3353565962286,38.6372324570622,99.6340712077364,0.510667686327764,0.012901995219526,-0.497765691108238,0.496741711796496,0.633892069947298,0.137150358150802,0.478681406084454,0.224291033179366,high
30,62,0,1685.40740653034,1684.53278801757,-0.874618512769985,31.2869217498403,9.3956657809154,-21.8912559689249,26.9346952699004,89.6441416338593,0.343444714613334,0.263996769097355,-0.079447945515979,0.418812449732207,0.0513011052382,-0.367511344494007,0.476435002861705,0.0980165049187207,ambiguous
31,63,0,1685.7160524647,1684.60328525019,-1.11276721450986,31.1713961834092,9.36104214475407,-21.8103540386551,27.0394698162721,89.9794733962522,0.544384060289837,0.0976248768541983,-0.446759183435639,0.455523453652687,0.434575221289851,-0.020948232362836,0.506643558055762,0.0597027025621799,ambiguous
32,64,0,1691.83914239452,1705.65259757526,13.81345518074,39.4675740764821,2.70004785171177,-36.7675262247703,21.4332801291004,315.855994273197,0.508411247125418,0.0184683017430946,-0.489942945382323,0.514957797759405,0.0146740905967796,-0.500283707162625,2.04143837010569,0.000268358455461915,ambiguous
33,65,0,1692.06346886954,1711.50960816601,19.4461392964699,40.4572114052231,3.05992660180798,-37.3972848034151,20.9117659138896,279.665140849253,0.341246654834086,0.0435226110283998,-0.297724043805686,0.420869568716255,0.0177394471127785,-0.403130121603476,2.35238723699522,0.100073623902769,ambiguous
34,66,0,1696.45800580698,1715.04198539333,18.5839795863499,51.4543029113664,2.94915004999374,-48.5051528613727,16.4850936638792,290.768858199835,0.313959233284987,0.00421825271412242,-0.309740980570865,0.441399834876072,0.00686146357880489,-0.434538371297267,2.34377686839207,0.113779276476365,ambiguous
35,67,0,1696.70350865522,1716.38909919989,19.68559054467,51.1986627614964,3.94416882594244,-47.254493935554,16.5698029708231,217.585653016484,0.632392580900756,0.00172763703005957,-0.630664943870696,0.369210644539402,0.00462407419864016,-0.364586570340762,2.51914649996721,0.0484146997259156,ambiguous
36,68,0,1703.89519226423,1722.17575633875,18.28056407452,60.2005535206131,63.0247579130513,2.8242043924382,14.1518233024286,13.6626923558728,0.429350690691355,0.51343339985593,0.0840827091645749,0.60794281250401,0.475440598051773,-0.132502214452237,1.63861337498096,0.456528127032372,low
37,69,0,1704.56224746431,1747.94175734961,43.3795098853,60.5565024897901,1.36764640128303,-59.1888560885071,14.0741470971817,639.032777664539,0.327891211254782,0.0546111408522998,-0.273280070402482,0.450610819760019,0.00567919631126754,-0.444931623448751,4.52533825389078,0.456528127032372,low
38,70,0,1711.31713327294,1768.92109953355,57.6039662606099,89.4274304531116,5.90525762287133,-83.5221728302403,9.56818911491709,149.775099792636,0.333833567124484,0.0553271030786358,-0.278506464045848,0.663371702744909,0.0956484979960989,-0.56772320474881,5.63064827852481,0.156145298791089,low
39,71,0,1711.53061649505,1777.37416178709,65.8435452920401,89.3772021308924,10.2326327362727,-79.1445693946197,9.57476054122013,86.8483315875611,0.408516486547179,0.0115982878017225,-0.396918198745456,0.484464305717319,0.0201923141352486,-0.46427199158207,6.24374651698897,0.077960991195041,ambiguous
40,72,0,1713.29469971454,1777.67370688617,64.3790071716301,84.668328783489,11.7801430282776,-72.8881857552114,10.1176834616384,75.452127474979,0.395580395854642,0.0104235192386717,-0.38515687661597,0.512528266084751,0.00511939012568102,-0.50740887595907,6.10825586731108,0.203116788027418,low
41,73,0,1713.6680285759,1784.39528276771,70.7272541918098,85.1126780977825,42.4447244789807,-42.6679536188018,10.0670550314909,21.0202245941232,0.182877764018817,4.20437847507378e-05,-0.182835720234066,0.760663927954495,5.58063196063517e-05,-0.760608121634889,6.4709726060434,0.0175291515265001,ambiguous
42,74,0,1714.20191700681,1786.1323880182,71.93047101139,105.242348814859,19.0634848873019,-86.1788639275571,8.14406907632975,46.8469537069775,0.503624643827692,0.225386477045307,-0.278238166782385,0.496323380997401,0.019586548391915,-0.476736832605486,6.62976952861794,0.338276031335375,low
43,75,0,1715.30858420842,1795.24395444297,79.9353702345502,105.413784503928,249.719352994201,144.305568490273,8.13607343802602,3.59452307744178,0.50328750066656,0.759306205558315,0.256018704891755,0.496463531070468,0.363575948237464,-0.132887582833004,6.98662020834494,0.382372024022575,low
44,76,0,1716.83335858735,1800.87539252405,84.0420339367001,138.038059874239,19.51277796386,-118.525281910379,6.21869562695782,46.1460535209155,0.456580692054107,0.0250526776643452,-0.431528014389762,0.552862212964056,0.0342880695123029,-0.518574143451753,7.77428174930084,0.438734843048304,low
45,77,0,1716.86166439004,1805.15313523805,88.29147084801,138.021798574839,241.203171450188,103.181372875349,6.21953083541044,3.74197636868726,0.388742809334453,0.730464165729658,0.341721356395205,0.531163031905479,0.724998019014913,0.193834987109434,7.71013549818444,0.375614594110326,low
46,78,0,1716.9865095912,1813.02369453601,96.03718494481,138.121253794808,17.3457642826822,-120.775489512126,6.21550435728722,52.2612801889078,0.358246985507986,0.0301598424127374,-0.328087143095249,0.295075353878123,0.0194437847233333,-0.27563156915479,8.61843131077601,0.185561059636883,low
47,79,0,1717.01111002861,1815.88421256871,98.8731025401,138.099130104158,73.3659534460761,-64.7331766580819,6.21658915857613,12.3755238450174,0.385583065034022,0.688937003426984,0.303353938392962,0.373293530123701,0.688406870141875,0.315113340018174,8.6445604229058,0.295215388310138,low
