theory_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction,source_shift_index,Forward,Backward
1,915.16692213514,60.1381128616154,7.60887628982508,0,1,0,0,1,0,1,0,0
2,970.718182760711,0.766288800559271,633.389253537464,0,1,0,0,1,0,1,0,0
3,991.145861876282,7.95988342456589,62.2588176867889,0,1,0,0,1,0,1,0,0
4,993.104127148425,8.72168666671402,56.9330317115477,0,1,0,0,1,0,1,0,0
5,994.145153497758,7.84733536570284,63.3428486975794,0,1,0,0,1,0,1,0,0
6,996.119511398581,8.58976058886304,57.9829612882394,0,1,0,0,1,0,1,0,0
7,1013.57469420009,13.5309993125754,37.453800372974,0.964644410118478,3.55361072552521e-06,0.0353520362707968,0.774510947004688,7.04828850705466e-07,0.225488348166462,1,0.964644410118478,0.774510947004688
8,1014.16845824764,12.3891003937671,40.9298668189765,0.881560303059214,8.81357039799017e-07,0.118438815583746,0.764052696456713,4.48254224452226e-06,0.235942821001043,1,0.881560303059214,0.764052696456713
9,1017.65614418704,16.884693832581,30.1354633456057,0.936678159891025,4.62782384554704e-07,0.0633213773265908,0.715272220326721,6.60528349678077e-06,0.284721174389782,1,0.936678159891025,0.715272220326721
10,1018.62009946824,14.9504890041618,34.0664475651829,0.928238389175546,3.77603404126966e-06,0.0717578347904124,0.795466692264822,3.76082639320338e-07,0.204532931652539,1,0.928238389175546,0.795466692264822
11,1041.7881992836,6.86106875614921,75.9202564724265,0.464627658942536,3.16552337402107e-07,0.535372024505126,0.596001937220494,5.78903359113431e-07,0.403997483876147,1,0.464627658942536,0.596001937220494
12,1045.10535940252,8.55268141579552,61.0981111416339,0.518652315913552,6.10727409325899e-07,0.481347073359039,0.595299655845345,7.83021965927037e-07,0.404699561132689,1,0.518652315913552,0.595299655845345
13,1054.47992939583,9.91810622999868,53.1593383324734,0.546438170860323,2.71892645282923e-06,0.453559110213224,0.511284009876993,1.53725256706236e-06,0.48871445287044,1,0.546438170860323,0.511284009876993
14,1058.5739155854,10.6656842565192,49.6252228232976,0.532439367261414,1.54871173377231e-06,0.467559084026852,0.474626524203632,1.34781764736575e-06,0.52537212797872,1,0.532439367261414,0.474626524203632
15,1069.49972175906,77.9574338059422,6.85951082241459,8.13607540274587e-08,0.999999895075373,2.35638729906797e-08,5.68439728139734e-09,0.999999981318773,1.29968298688576e-08,1,8.13607540274587e-08,5.68439728139734e-09
16,1082.07306472748,32.7278252553486,16.53139272599,0.66782744498947,1.30796147770831e-06,0.332171247049052,0.696989582006741,6.47708676468219e-06,0.303003940906495,1,0.66782744498947,0.696989582006741
17,1084.79710521926,36.0702136583823,15.0372980250862,0.771658912931014,2.36577171059546e-06,0.228338721297275,0.858707414874824,1.43606402138229e-06,0.141291149061154,1,0.771658912931014,0.858707414874824
18,1093.48963834672,35.6978623372968,15.3158980223342,0.610630925595343,5.85803655549904e-05,0.389310494039102,0.513984203815114,8.93567398627846e-07,0.486014902617488,1,0.610630925595343,0.513984203815114
19,1093.56325562156,40.0663218904162,13.6469134677812,0.816176762338188,3.29345408373769e-06,0.183819944207728,0.740031046748022,0.000597065041264814,0.259371888210713,1,0.816176762338188,0.740031046748022
20,1117.94934237998,53.575885514905,10.4333258483331,7.38687630334028e-07,0.999998829708644,4.31603725604835e-07,4.71539333822808e-08,0.999999846593206,1.06252860468678e-07,1,7.38687630334028e-07,4.71539333822808e-08
21,1124.37068029292,14.7477345106448,38.1201153126726,0.481846985457741,1.28838301401923e-06,0.518151726159245,0.513318063672226,1.22507469694171e-06,0.486680711253077,1,0.481846985457741,0.513318063672226
22,1153.83775679619,20.8781675182357,27.6326395932112,0.506998518053353,1.56154298924333e-06,0.492999920403658,0.501939220647632,5.90164784793265e-06,0.49805487770452,1,0.506998518053353,0.501939220647632
23,1181.06311946798,1.84452681448887,320.153415550987,0.000410992347257367,0.998141585548086,0.00144742210465633,0.000214982129011207,0.999766126118975,1.88917520142039e-05,1,0.000410992347257367,0.000214982129011207
24,1184.7701195924,34.8568104993262,16.9948153979164,0.58754073030755,6.66295202193257e-06,0.412452606740428,0.518731689620283,8.61668714219476e-07,0.481267448711002,1,0.58754073030755,0.518731689620283
25,1185.30978024406,29.0021686785062,20.4348473623372,0.477437320455669,5.06289930986464e-06,0.522557616645021,0.470571168921088,4.47556453086555e-06,0.529424355514381,1,0.477437320455669,0.470571168921088
26,1196.59309113286,64.1241652721503,9.33028200877458,0.832805132173713,4.84591494766969e-07,0.167194383234792,0.88938753792522,6.66978992043155e-07,0.110611795095788,1,0.832805132173713,0.88938753792522
