solution_index,comsol_tvb_root,comsol_MAC,matlab_no_loss_index,matlab_tvb_index,matlab_MAC,comsol_no_loss_real_Hz,comsol_no_loss_imag_Hz,comsol_tvb_real_Hz,comsol_tvb_imag_Hz,matlab_no_loss_real_Hz,matlab_no_loss_imag_Hz,matlab_tvb_real_Hz,matlab_tvb_imag_Hz,comsol_loss_increment_Hz,matlab_loss_increment_Hz,no_loss_real_relative_error,tvb_real_relative_error,tvb_imag_absolute_error_Hz,loss_increment_absolute_error_Hz,loss_increment_relative_error,meaningful_loss,loss_within_10pct
1,44,1,30,30,0.999989834339005,1256.43837528062,123.027638348519,1238.54643052115,124.291942245333,1232.13955452167,26.9783109337325,1231.62089629724,27.6842155144823,1.264303896814,0.705904580749714,0.0193394449238487,0.00559166297947863,96.6077267308507,0.558399316064286,0.441665423535775,1,0
2,45,1,31,31,0.999991251941775,1308.98491253689,134.12501806633,1245.5233462967,124.189811116657,1312.28606636425,41.0692323925546,1311.44087725689,42.0341731525949,-9.935206949673,0.964940760040214,0.00252191892797337,0.0529235611329017,82.1556379640621,10.9001477097132,1.09712336793065,1,0
3,46,0.999999999999998,32,32,0.999996098813438,1310.22044607279,131.524851013598,1258.22165157834,137.900502173554,1317.58881124045,33.6926370992893,1316.90569266254,34.2097175345535,6.37565115995599,0.517080435264241,0.00562375987166679,0.0466404635547245,103.690784639,5.85857072469175,0.918897627506363,1,0
4,47,1,33,33,0.999951654769298,1319.37427972494,117.864168048509,1319.23669713894,122.076298404233,1353.82382200009,103.555062256099,1353.83910542835,103.351608419336,4.212130355724,-0.203453836763344,0.0261105152681405,0.0262291129138969,18.7246899848975,4.41558419248734,1.04830188517002,1,0
5,48,0.999999999999999,35,35,0.999997636724245,1331.93625294502,94.6806025386571,1319.30224742877,120.865759704358,1358.24738773052,60.093149573151,1357.66831343698,60.6791698834567,26.1851571657009,0.58602031030572,0.0197540495855719,0.0290805735251185,60.1865898209013,25.5991368553952,0.97762013393323,1,0
6,49,0.999999999999999,36,36,0.99981728941211,1403.14659536679,130.385501787558,1390.59973290845,129.839115518921,1364.93917941525,111.97856575412,1364.86155677748,111.977867104516,-0.546386268637008,-0.00069864960431687,0.0272298105398947,0.0185086876704188,17.8612484144055,0.545687619032691,0.545687619032691,0,0
7,50,0.999999999999998,37,37,0.999551393148672,1425.23785969866,113.080690056145,1408.28677957757,118.472807197017,1367.04640779796,107.853588323467,1367.12368186487,107.696902722488,5.392117140872,-0.15668560097879,0.0408292914089479,0.0292292012604474,10.7759044745289,5.54880274185079,1.02905827096951,1,0
8,51,1,38,38,0.999970517852828,1479.18182971742,4.27605472084719,1414.22200447403,116.628346339686,1386.86833296419,46.4085663555006,1386.00948120648,47.1772733888647,112.352291618839,0.768707033364109,0.0624084848114059,0.0199491474310922,69.4510729508213,111.583584585475,0.993158065382663,1,0
9,52,1,39,39,0.999974361372593,1504.90641280208,114.668690543904,1504.03238823438,114.384484738525,1393.99220560374,51.6480416569247,1393.25647798315,52.4830871023985,-0.284205805379003,0.83504544547381,0.0737017307221282,0.0736526095566812,61.9013976361265,1.11925125085281,1.11925125085281,0,0
10,53,1,40,40,0.999991966464716,1505.81253190047,119.410874468494,1504.29622384691,114.567569368874,1398.4643510565,42.5931664737638,1397.80455236436,43.2536923086964,-4.84330509962,0.660525834932599,0.0712892067038988,0.070791689691424,71.3138770601776,5.5038309345526,1.13637915046575,1,0
