solution,real_Hz,imag_Hz,PML_fraction,physical_duct_fraction,cavity_fraction,PML_int_p2,duct_int_p2,cavity_int_p2
1,1200.33265592692,106.298335161038,0.111587993646133,0.881568558309607,0.00684344804425993,0.0050745398338459,0.0400899292050603,0.00031121044985878
2,1243.21532520888,123.386610169219,0.110438843124765,0.888846445160447,0.000714711714788464,0.00498920584565681,0.0401546933543651,3.22879501857295e-05
3,1251.24747051832,136.23458545481,0.0747331590254705,0.923627049070993,0.00163979190353677,0.00357470954338561,0.0441798322176892,7.84361298676206e-05
4,1308.6538753158,126.673566293862,0.0874621939568725,0.906024378163208,0.00651342787991902,0.00394916156183614,0.0409095231488586,0.000294099402901462
5,1319.33730331406,121.344505030376,0.0827932859227127,0.917042658516827,0.000164055560460628,0.00372858700488964,0.0412989205751197,7.38822507158855e-06
6,1329.73041172311,96.4767349665459,0.0601649902414948,0.922830130520675,0.0170048792378303,0.00264531761821461,0.0405747394470944,0.000747665817992937
7,1392.34951632836,129.699448516987,0.0386884694840512,0.960968233823204,0.000343296692745254,0.00193982558710873,0.0481825927266878,1.72127695263719e-05
8,1412.01041048795,117.131117283018,0.0627549286504384,0.936282509017047,0.000962562332515041,0.00269376951319154,0.0401901385718011,4.13182059423383e-05
9,1449.00246233249,100.099015635459,0.0472615703634333,0.934897439707813,0.0178409899287537,0.00202364104901502,0.0400303422223048,0.000763913668065994
10,1504.33251591455,114.509831686857,0.0513873958031391,0.948558259032341,5.43451645202299e-05,0.00225720948206707,0.0416657560305876,2.38713051600222e-06
11,1505.51757656797,115.769269963859,0.0516478027957686,0.94761406245954,0.000738134744691638,0.00227078959618449,0.0416635759461105,3.24534367019654e-05
12,1531.82054503691,115.673895258925,0.0312240901100729,0.9646791916405,0.00409671824942681,0.00152835779799464,0.0472191490579668,0.00020052630070647
