Var1,Var2,Var3,Var4,Var5,Var6,Var7
1,1200.33265592692,106.298335161038,1218.33265592692,124.298335161038,0.000638622933168773,0
2,1243.21532520888,123.386610169219,1261.21532520888,141.386610169219,0.000580760916760404,0
3,1251.24747051832,136.23458545481,1269.24747051832,154.23458545481,0.000571417320867795,0
4,1308.6538753158,126.673566293862,1326.6538753158,144.673566293862,0.000415339519375252,0
5,1319.33730331406,121.344505030376,1337.33730331406,139.344505030376,0.000385558234218968,0
6,1329.73041172311,96.4767349665459,1347.73041172311,114.476734966546,0.000380321740096118,0
7,1392.34951632836,129.699448516987,1410.34951632836,147.699448516987,0.000145572660001939,0
8,1412.01041048795,117.131117283018,1421.84132851446,135.131117282929,0.000186982514672771,0
9,1449.00246233249,100.099015635459,1431.00246233249,118.099015635459,0.000246560118722782,0
10,1504.33251591455,114.509831686857,1486.33251591455,132.509831686857,0.000291233104386389,0
11,1505.51757656797,115.769269963859,1487.51757656797,133.769269963859,0.000292122876684715,0
12,1531.82054503691,115.673895258925,1513.82054503691,133.673895258925,0.000331213898576449,0
