solution_index,frequency_real_Hz,frequency_imag_Hz,Eoz1_W,Eoz1_real_W,Eoz1_ratio,Eoz0_W,Eoz0_real_W,Eoz0_ratio,Eoz_1_W,Eoz_1_real_W,Eoz_1_ratio,Eof1_W,Eof1_real_W,Eof1_ratio,Eof0_W,Eof0_real_W,Eof0_ratio,Eof_1_W,Eof_1_real_W,Eof_1_ratio,Forward,Backward
1,1200.33265592692,106.298335161038,1.01803321915552e-06-9.01543716240044e-08i,1.01803321915552e-06,0.211662525041838,2.47469936195324e-06-2.1915293306469e-07i,2.47469936195324e-06,0.514522616565455,1.3169672887869e-06-1.16627194610056e-07i,1.3169672887869e-06,0.273814858392707,4.91176674807301e-05-4.34973276317574e-06i,4.91176674807301e-05,0.545289049763108,2.80965451055016e-06-2.48815689029598e-07i,2.80965451055016e-06,0.0311919094859623,3.81490650223017e-05-3.37838188421974e-06i,3.81490650223017e-05,0.423519040750929,0.211662525041838,0.545289049763108
2,1243.21532520888,123.386610169219,2.19594139371922e-05-2.17942748297253e-06i,2.19594139371922e-05,0.408537381927904,1.56584803159234e-07-1.5540725467317e-08i,1.56584803159234e-07,0.00291313537398299,3.1635297734808e-05-3.13973940800329e-06i,3.1635297734808e-05,0.588549482698113,2.70716793059432e-05-2.68680949584282e-06i,2.70716793059432e-05,0.591341648257921,1.55111437695834e-07-1.53944969207546e-08i,1.55111437695834e-07,0.00338818483309138,1.85533084353986e-05-1.84137839105481e-06i,1.85533084353986e-05,0.405270166908987,0.408537381927904,0.591341648257921
3,1251.24747051832,136.23458545481,9.09528763837732e-06-9.90285910822507e-07i,9.09528763837732e-06,0.109031400088387,5.23184148684966e-05-5.69637719891642e-06i,5.23184148684966e-05,0.627176429192618,2.20052724948614e-05-2.39591227698205e-06i,2.20052724948614e-05,0.263792170718996,1.03377181710182e-05-1.12556051681281e-06i,1.03377181710182e-05,0.157487877528755,5.08590819516558e-05-5.53748647613717e-06i,5.08590819516558e-05,0.774802401953889,4.44455801380032e-06-4.83919075008492e-07i,4.44455801380032e-06,0.0677097205173556,0.109031400088387,0.157487877528755
4,1308.6538753158,126.673566293862,4.07258332112069e-05-3.94213216379132e-06i,4.07258332112069e-05,0.454174368562947,1.60185134079913e-06-1.55054155907087e-07i,1.60185134079913e-06,0.0178638412986221,4.73423541603668e-05-4.58259051637586e-06i,4.73423541603668e-05,0.527961790138431,6.43720633433521e-06-6.23101263611741e-07i,6.43720633433521e-06,0.366408735139823,5.65258563777665e-06-5.47152455683395e-07i,5.65258563777665e-06,0.32174776544912,5.47858377056455e-06-5.30309623917639e-07i,5.47858377056455e-06,0.311843499411058,0.454174368562947,0.366408735139823
5,1319.33730331406,121.344505030376,2.30690050481761e-05-2.12174475176483e-06i,2.30690050481761e-05,0.46060575128079,1.82068218616397e-09-1.67455114126413e-10i,1.82068218616397e-09,3.63525294849207e-05,2.70132320219106e-05-2.48451041347473e-06i,2.70132320219106e-05,0.539357896189725,2.90773616474925e-05-2.67435632104181e-06i,2.90773616474925e-05,0.537245349880093,3.56076663043151e-09-3.27497345230098e-10i,3.56076663043151e-09,6.57901957336802e-05,2.50421363596425e-05-2.30322119584658e-06i,2.50421363596425e-05,0.462688859924173,0.46060575128079,0.537245349880093
6,1329.73041172311,96.4767349665459,4.25349893717778e-06-3.08606681493298e-07i,4.25349893717778e-06,0.391131169352879,1.83810728525621e-06-1.33361309808614e-07i,1.83810728525621e-06,0.169023446930806,4.78325947598409e-06-3.4704271833773e-07i,4.78325947598409e-06,0.439845383716314,4.31420307942712e-05-3.13010985848172e-06i,4.31420307942712e-05,0.483815883840273,8.17170827724295e-06-5.9288689401778e-07i,8.17170827724295e-06,0.0916415428261242,3.78566090614011e-05-2.74663345814298e-06i,3.78566090614011e-05,0.424542573333603,0.391131169352879,0.483815883840273
7,1392.34951632836,129.699448516987,2.6434010577979e-06-2.46236778470467e-07i,2.6434010577979e-06,0.0254345382463986,9.81068726454572e-05-9.13880252667916e-06i,9.81068726454572e-05,0.943974429144763,3.1793133877232e-06-2.96157816851733e-07i,3.1793133877232e-06,0.0305910326088381,2.04646794116194e-06-1.90631562164311e-07i,2.04646794116194e-06,0.0216361228158915,9.08854070582417e-05-8.46611216182297e-06i,9.08854070582417e-05,0.96087888294401,1.65383051613489e-06-1.54056796348736e-07i,1.65383051613489e-06,0.017484994240099,0.0254345382463986,0.0216361228158915
8,1412.01041048795,117.131117283018,2.46026665127144e-05-2.04087575797681e-06i,2.46026665127144e-05,0.464768333476704,3.80962956406141e-08-3.16021867798218e-09i,3.80962956406141e-08,0.000719676130527307,2.82945702180453e-05-2.34713186111508e-06i,2.82945702180453e-05,0.534511990392768,2.79753803459789e-05-2.32065396402392e-06i,2.79753803459789e-05,0.534574200223689,1.15575722849786e-08-9.58740349761989e-10i,1.15575722849786e-08,0.000220850615232402,2.43451430805438e-05-2.01951330405108e-06i,2.43451430805438e-05,0.465204949161079,0.464768333476704,0.534574200223689
9,1449.00246233249,100.099015635459,2.04203715481033e-05-1.41066640258506e-06i,2.04203715481033e-05,0.380298510453886,1.02454764720494e-05-7.07771129607004e-07i,1.02454764720494e-05,0.190806491058808,2.3029791028582e-05-1.59092856787872e-06i,2.3029791028582e-05,0.428894998487306,2.72967066328513e-05-1.88569276800258e-06i,2.72967066328513e-05,0.505330050772742,2.49076790768485e-06-1.72065556972418e-07i,2.49076790768485e-06,0.0461103198339215,2.42301058331417e-05-1.6738479096414e-06i,2.42301058331417e-05,0.448559629393337,0.380298510453886,0.505330050772742
10,1504.33251591455,114.509831686857,2.91093904890684e-05-2.21580758917767e-06i,2.91093904890684e-05,0.485305187714837,8.99070237081204e-09-6.8437250696693e-10i,8.99070237081204e-09,0.000149890960561119,3.08632370272659e-05-2.3493104349707e-06i,3.08632370272659e-05,0.514544921324602,3.05243156015019e-05-2.32351172690002e-06i,3.05243156015019e-05,0.520903536312391,3.76000935728347e-09-2.86212013692851e-10i,3.76000935728347e-09,6.4165309923616e-05,2.80707118298853e-05-2.13674334162501e-06i,2.80707118298853e-05,0.479032298377685,0.485305187714837,0.520903536312391
