% Model:              双层结构非对称测试_仿照optic_左右手性相同_CPA_200-辐射.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jul 12 2026, 13:07
% Table:              表格 17 {tbl17} - 全局计算 6 {gev6}
% 特征频率 (kHz)                                      Eoz1 (W)                                          Eoz0 (W)                                          Eoz_1 (W)                                         Eof1 (W)                                          Eof0 (W)                                          Eof_1 (W)
1.2385464305221479+0.12429194224486095i           2.512349807817154E-5-2.5212202749674253E-6i       1.3437411846421941E-12-1.3484855924470893E-13i    2.5112266367786558E-5-2.5200931382981176E-6i      2.4873110514271302E-5-2.4960931131072115E-6i      3.85990637024575E-12-3.873534716327912E-13i       2.487016937020638E-5-2.4957979602576756E-6i
1.245523346296881+0.12418981111745551i            2.7049213942113094E-5-2.697048417706629E-6i       1.9100789952161343E-6-1.9045194964877784E-7i      2.7082164792338815E-5-2.7003339120153935E-6i      2.0603114759365455E-5-2.054314708756144E-6i       2.005146548851783E-6-1.9993103453667815E-7i       2.059261155255022E-5-2.0532674451505362E-6i
1.2582216515788212+0.1379005021729016i            5.0699145728678575E-6-5.556602564380459E-7i       8.057043599361602E-5-8.830481950352326E-6i        5.07178733351495E-6-5.558655101255497E-7i         1.5991749204388594E-6-1.7526882033392965E-7i      8.483638488820189E-5-9.29802794597969E-6i         1.6013716109867368E-6-1.755095765864474E-7i
1.3192366971395284+0.12207629840431113i           2.6125720694480786E-5-2.417558033704247E-6i       4.070263974413149E-13-3.766441311116928E-14i      2.591788376422464E-5-2.398325728256408E-6i        2.6068247778946146E-5-2.4122397456349524E-6i      4.009009067614902E-12-3.7097587438623556E-13i     2.6275626549220433E-5-2.4314296549951264E-6i
1.319302247428879+0.12086575970431773i            2.3978711027972082E-5-2.19677115746169E-6i        2.2792040536918048E-8-2.0880562434232573E-9i      2.3807557399844276E-5-2.181091192290606E-6i       2.706234820124731E-5-2.4792736320286316E-6i       6.655533508258329E-8-6.09736029238858E-9i         2.726038972057053E-5-2.4974168882329216E-6i
1.3905997329085267+0.12983911551891536i           2.909194973144696E-7-2.716290628038174E-8i        1.0376059045257125E-4-9.68803816890166E-6i        2.88523397597661E-7-2.6939184485703372E-8i        2.2664741104999878E-7-2.116187619555628E-8i       1.0055498519162964E-4-9.388733529375444E-6i       2.2821933886314857E-7-2.1308645759859355E-8i
1.408286779577604+0.11847280719711498i            2.6892059778056416E-5-2.2623075494428467E-6i      2.0129582768212346E-12-1.693410896729485E-13i     2.6886464263179424E-5-2.26183682404458E-6i        2.6890109496898668E-5-2.2621434810961628E-6i      2.4337778224283917E-12-2.04742737699814E-13i      2.689467542089768E-5-2.2625275916633117E-6i
1.4142220044740268+0.11662834633972098i           2.5483912300488744E-5-2.1016124345893405E-6i      5.137710585082721E-7-4.236977558082415E-8i        2.5498814428038653E-5-2.1028413862585915E-6i      2.4944392818153494E-5-2.057119232783854E-6i       1.2821247193635614E-7-1.057345207100384E-8i       2.493282941717915E-5-2.0561656198932087E-6i
1.5040323882344142+0.11438448473855739i           2.9265046801694412E-5-2.225661711441719E-6i       6.3243788998226416E-12-4.809808800705617E-13i     3.0241322298574582E-5-2.2999092945038146E-6i      3.018932518439204E-5-2.295954816421967E-6i        1.0619189751875996E-11-8.076093025730704E-13i     2.92029045751817E-5-2.2209356785346034E-6i
1.5042962238469135+0.1145675693688537i            2.906993259082627E-5-2.2139731961371444E-6i       3.899433618081368E-8-2.969818207721839E-9i        3.007556666902624E-5-2.2905625341860203E-6i       2.9079460666092204E-5-2.2146988566863616E-6i      1.060645232873035E-8-8.077900108143298E-10i       2.8119184307799643E-5-2.1415639737105806E-6i
