% Model:              双层结构非对称测试_仿照optic_左右手性相同_CPA_200-辐射.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jul 12 2026, 14:33
% Table:              表格 17 {tbl17} - 全局计算 6 {gev6}
% 特征频率 (kHz)                                      Eoz1 (W)                                          Eoz0 (W)                                          Eoz_1 (W)                                         Eof1 (W)                                          Eof0 (W)                                          Eof_1 (W)
1.200332655926921+0.10629833516103837i            1.0180332191555154E-6-9.015437162400439E-8i       2.474699361953245E-6-2.191529330646898E-7i        1.316967288786904E-6-1.1662719461005595E-7i       4.911766748073009E-5-4.349732763175742E-6i        2.809654510550163E-6-2.4881568902959825E-7i       3.814906502230172E-5-3.378381884219739E-6i
1.2432153252088787+0.12338661016921934i           2.1959413937192212E-5-2.179427482972527E-6i       1.5658480315923425E-7-1.554072546731698E-8i       3.1635297734807984E-5-3.1397394080032886E-6i      2.7071679305943215E-5-2.686809495842823E-6i       1.5511143769583433E-7-1.5394496920754643E-8i      1.8553308435398566E-5-1.8413783910548135E-6i
1.2512474705183203+0.13623458545481013i           9.095287638377323E-6-9.902859108225073E-7i        5.2318414868496574E-5-5.696377198916419E-6i       2.2005272494861382E-5-2.395912276982047E-6i       1.0337718171018224E-5-1.1255605168128128E-6i      5.085908195165575E-5-5.5374864761371655E-6i       4.444558013800317E-6-4.839190750084916E-7i
1.3086538753158041+0.12667356629386212i           4.072583321120691E-5-3.9421321637913225E-6i       1.6018513407991285E-6-1.5505415590708704E-7i      4.734235416036678E-5-4.58259051637586E-6i         6.437206334335205E-6-6.231012636117414E-7i        5.652585637776654E-6-5.471524556833952E-7i        5.478583770564549E-6-5.303096239176395E-7i
1.319337303314059+0.12134450503037615i            2.306900504817607E-5-2.121744751764834E-6i        1.8206821861639669E-9-1.6745511412641302E-10i     2.7013232021910562E-5-2.4845104134747273E-6i      2.9077361647492453E-5-2.6743563210418142E-6i      3.560766630431506E-9-3.274973452300984E-10i       2.5042136359642533E-5-2.30322119584658E-6i
1.3297304117231092+0.09647673496654592i           4.253498937177782E-6-3.0860668149329805E-7i       1.8381072852562142E-6-1.3336130980861368E-7i      4.783259475984089E-6-3.4704271833772964E-7i       4.3142030794271174E-5-3.1301098584817215E-6i      8.171708277242954E-6-5.9288689401778E-7i          3.785660906140108E-5-2.74663345814298E-6i
1.392349516328356+0.12969944851698706i            2.643401057797899E-6-2.462367784704673E-7i        9.81068726454572E-5-9.13880252667916E-6i          3.179313387723196E-6-2.961578168517331E-7i        2.0464679411619356E-6-1.9063156216431077E-7i      9.088540705824167E-5-8.466112161822974E-6i        1.653830516134887E-6-1.5405679634873624E-7i
1.4120104104879483+0.11713111728301816i           2.4602666512714408E-5-2.040875757976807E-6i       3.8096295640614106E-8-3.1602186779821826E-9i      2.8294570218045264E-5-2.347131861115084E-6i       2.7975380345978903E-5-2.320653964023917E-6i       1.1557572284978576E-8-9.587403497619892E-10i      2.4345143080543796E-5-2.0195133040510764E-6i
1.4490024623324875+0.10009901563545866i           2.0420371548103283E-5-1.4106664025850613E-6i      1.0245476472049374E-5-7.077711296070035E-7i       2.302979102858195E-5-1.590928567878725E-6i        2.729670663285129E-5-1.885692768002585E-6i        2.4907679076848483E-6-1.7206555697241778E-7i      2.4230105833141702E-5-1.6738479096413958E-6i
1.5043325159145506+0.11450983168685665i           2.910939048906836E-5-2.2158075891776727E-6i       8.990702370812039E-9-6.843725069669296E-10i       3.0863237027265944E-5-2.3493104349707028E-6i      3.0524315601501904E-5-2.323511726900024E-6i       3.760009357283467E-9-2.862120136928506E-10i       2.8070711829885255E-5-2.1367433416250106E-6i
1.5055175765679714+0.11576926996385895i           3.206204435200631E-5-2.465464054323551E-6i        1.5310322821247845E-6-1.1773126554705811E-7i      3.4777611164137225E-5-2.6742820663291955E-6i      2.6262366563814998E-5-2.019488215838079E-6i       3.936770912695982E-7-3.027245258847975E-8i        2.486080627935331E-5-1.9117129141957323E-6i
1.5318205450369102+0.1156738952589251i            3.2827645775989936E-6-2.4789468135756434E-7i      8.015557772012985E-5-6.05286822379936E-6i         3.7663703149434627E-6-2.844136845720378E-7i       2.3850709963122524E-6-1.8010624906840886E-7i      9.799748808682708E-5-7.400182227168294E-6i        2.1306181428614947E-6-1.6089149652199468E-7i
1.6085552039116502+0.10852341283812239i           2.8718114279675738E-5-1.937507500101194E-6i       9.067864470888384E-11-6.117760815055077E-12i      3.3551397586254526E-5-2.2635916769873386E-6i      3.4867957484177946E-5-2.352415220612707E-6i       1.0775137627928916E-8-7.269596382764512E-10i      2.9990600268507598E-5-2.0233575361838295E-6i
1.6224485343245396+0.09707343848666863i           2.1753060536898956E-5-1.3015170214965019E-6i      4.340931290069142E-7-2.5972418702132536E-8i       2.5701284517945672E-5-1.5377449631829793E-6i      3.602707386434751E-5-2.1555518493419547E-6i       5.3503253521664436E-6-3.2011769123599336E-7i      3.0308609009421274E-5-1.8134078400936346E-6i
1.6647895883672135+0.0010030591351248605i         1.7917749503763416E-7-1.0795696012404725E-10i     2.0746891924171172E-7-1.2500294100468517E-10i     1.4285301056620566E-7-8.60709474817513E-11i       1.627270680436578E-7-9.804534655539432E-11i       1.995221469311784E-7-1.202148989502802E-10i       2.0373293116854966E-7-1.227519556599377E-10i
